ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
RIN20230039,,30000,Care gap order rate
4-2019-0834,,300,"Locoregional recurrence-free survival (LRFS), Postoperative complication rates in 30 days, Clavien-Dindo grade of postoperative complications, Nipple necrosis rates"
UI/EC/20/0275,,41,Time to drain removal
AB-201-01,,133,"Safety: incidence and severity of adverse events and serious adverse events, Determination of Recommended Phase 2 Dose (RP2D): safety, preliminary efficacy (based on objective response rate (ORR) defined as the proportion of patients with a complete or partial response) and pharmacokinetics, Efficacy: Objective Response Rate, defined as the proportion of patients with a complete or partial response"
IOM-040369,,404,Patient preference for type of pegfilgrastim application assessed via project specific survey answered after 4 applications.
233,,30,Cumulative of nausea scoring
TQB3616-I-02,,16,"Peak concentration(Cmax), Area under the time-concentration curve from 0 to t hours after drug administration(AUC0-t)), Area under the time-concentration curve from 0 to infinity after drug administration(AUC0-∞)"
MAR-BAS-18-005,,384,OVERALL RESPONSE RATE (ORR)
107709,Unforeseen complications due to COVID-19 and funding,3,"Mean monthly enrollment, Retention Rate, Number of Serious Adverse Events, Questionnaire Completion Rate"
20-1456,,15,"Number of open orders for FIT screening, Number of open orders for mammography screening"
UTN: U1111-1278-1680,,70,Radiotherapy Plan Selection
19-104,,144,"Acute Nausea Score, Delayed Nausea Score"
MASCT-I-1003,,28,Incidence of Treatment-Emergent Adverse Events（Safety）
REC/RCR&AHS/22/0511,,20,"DASH, Numeric Pain Rating Scale, Goniometer., Breast cancer specific QOL, Patient Specific Functional Scale, Dynamometer"
18-264,,200,"Completion of a Mammogram exam to screen for breast cancer, Completion of a Fecal Immunochemical Test kit to screen for colorectal cancer, Completion of a Pap Smear test to screen for cervical cancer"
KY20202093-F-1,,56,SUV of organs
P050001 TiLOOP® Bra Pocket,,313,Quality of Life - Patient reported outcome
2021-0262,,80,Trial adherence
H18-02014,,20,"Number of participants for whom dose volume treatment planning constraints are not met using CARA support for breast setup, Number of participants having measured breast skin dose => 110% of the prescribed dose to an area of skin => 1 cm^2, Number of participants scoring =>6 on the CTCAE Version 4.0 skin assessment"
262180,,25,Degradation of Topoisomerase 2 b
IRB19-2074,,50,Compare the diagnostic accuracy of dynamic contrast-enhanced breast MRIs performed with an abbreviated protocol versus a full protocol
TG1819ONC,,233,"In part I and part II, Evaluate the safety and tolerability of escalating doses of single dose and multiple dose IT T3011.Characterize DLTs and identify the MTD of IT T3011., In part III, Evaluate the safety of multiple dose IT T3011 in the following indications,including sarcoma, Malignant head and neck tumor, breast cancer, esophagus cancer, lung cancer and non-melanoma skin cancer."
STUDY00018917,Award not yet received and PI is transferring to a different institution,0,"Introduce PAI tool to increase PA and reduce sedentary behavior, Change in activity as measured by Community Healthy Activities Model Program for Seniors (CHAMPS) Questionnaire for Older Adults, Use of Actigraph to measure changes in activity and sedentary behavior"
STUDY00002789,,332,"Uptake of Genetic Counseling, Uptake of Genetic Testing"
S66520,,162,change in severity dryness as most bothersome symptom (MBS) of GSM at 3 months after the end of treatment
P.T.REC/012/002677,,60,"insulin resistance, inflammatory markers"
ISPY-P1.01,Study withdrawn as scientific interest in pursuing the SYD985+Paclitaxel combination has diminished.,0,"Common Toxicity Criteria for Adverse Events (CTCAE 5.0), Clinical Benefit Rate (CBR) at 6 months, Overall response rate (ORR)"
NCI-2017-01921,,33,Incidence of skin toxicity
"2016-051-000001, 1835",,768,Irrational preference
CF21163B,,30,"Shoulder range of motion, Pain score"
D-FR-01072-002,High number of screen failures,9,"Maximum Tolerated Cumulative Activity - Phase I, Objective Response Rate Over the Two Treatment Cycles - Phase II"
Breast-Nektaria,,64,"pain score 6 hours postoperatively, pain score 12 hours postoperatively, pain score 24 hours postoperatively"
1413727,,14,Phase one: Feasibility
1049/2018,,128,Extent of hair preservation
20200426,,13,"Maximum Observed Plasma Concentration (Cmax) of Rosuvastatin, Area Under the Plasma Concentration-Time Curve (AUC) from Time Zero to Time of Last Quantifiable Concentration (AUClast) of Rosuvastatin, AUC from Time Zero to Infinity (AUCinf) of Rosuvastatin"
VALO-001,,15,"Measurement of Safety and tolerability indexes (Incidence of TEAEs, SAEs and DLTs as assessed by CTCAE version 5.0 and changes in assessed safety parameters) for PeptiCRAd-1 monotherapy., Measurement of Safety and tolerability indexes (Incidence of TEAEs, SAEs and DLTs as assessed by CTCAE version 5.0 and changes in assessed safety parameters) for PeptiCRAd-1 and CPI combination."
IMU R204/2017,,91,"Change in body weight, Change in body mass index (BMI), Change in serum albumin level, Change in serum pre-albumin level"
LCCC1915,,45,"Sensitivity of Acoustic Angiography; Breast Imaging (percent of positive scans), Specificity of Acoustic Angiography; Breast Imaging (percent of negative scans), Sensitivity of Acoustic Angiography; Thyroid Imaging (percent of positive scans), Specificity of Acoustic Angiography; Thyroid Imaging (percent of negative scans)"
RiphahIU Shafaq,,60,"NPRS, Shoulder Pain and Disability Index (SPADI), pectoralis minor length through vernier caliper, pectoralis minor length through Rigid standard plastic transparent right angle"
CRX100-001,,24,Frequency of treatment-emergent Adverse Events and Dose Limiting Toxicities
HREBA.CC-20-0077,,22,Framingham 10-year cardiovascular risk score (%)
TST-9-H,the company is liquidated,0,Frequency of occurrence and evaluation of adverse events in the use of Subcutaneously Talazoparib ( 1 mg / dose )
OCOG-2022-RAPID2,,910,"Local Recurrence, Patient Assessment Cosmesis at 3 years"
20181004,,28,"Feasibility/ Enrollment, Feasibility/ Retention in Study, Feasibility/ Retention in the Program, Acceptability"
18-571,,100,ePRO Oral Response Rate
R19-159,,20,"Compare lesion conspicuity on a scale of 1-4 from low-dose and SOC-dose imaging., Compare lesion size in millimeters from low-dose to SOC-dose imaging., Compare lesion margins on a scale from 1-4 from low-dose and SOC-dose imaging., Compare lesion internal enhancement pattern on a scale from 1-4 from low-dose and SOC- dose imaging."
2018B0521,,540,"Mammogram test completion, Pap test completion"
287482,,138,post-operative abdominal mean drainage duration
HR-BLTN-DDI-07,,36,"Cmax of pyrotinib, AUC of pyrotinib"
201612723,Enrollment challenges,5,Number of Participants With No Worsening in the Grade of Peripheral Sensory Neuropathy as Scored by CTCAE
2012285106,,100,Measurement of breast density
AWS,,46,"Shoulder Range of Movement (ROM) in the limb with Axillary Web Syndrome, Quality of life. Barthel Scale"
2022-0328,,1000,genetic risk screening tool (GRST) questionnaire
20/007-E_TFM,,58,Changes in Health Related Quality of Life: EORTC QLQ-30
Internal Code 012-23,,78,Changes in Health Related Quality of Life: EORTC QLQ-30
0352-2189,,30,"Area under the concentration time curve of the analyte in plasma over the time interval from 0 to 24 hours) for each component of the transporter cocktail: digoxin, furosemide, metformin, and rosuvastatin (AUC0-24), Maximum measured concentration of the analyte in plasma) for each component of the transporter cocktail: digoxin, furosemide, metformin, and rosuvastatin (Cmax)"
HCI128055,,79,"Positive detection rate of invasive lobular carcinoma (ILC) - COMPLETED AS OF MARCH 2022, Change in staging of patients with newly diagnosed ILC"
180097,,23,"Number of Participants With an Objective Response, Number of Participants With Germline Deoxyribonucleic Acid (DNA) Repair Mutation Who Experienced Partial or Complete Response., Percentage of Participants With Breast Cancer Type 1 Associated Protein-1 (BAP1) Somatic Mutations Who Experienced Partial or Complete Response., Percentage of Subjects With Neither Germline Deoxyribonuclecic Acid (DNA) Repair Mutations Nor Somatic Breast Cancer Type 1 Associated Protein-1 (BAP1) Mutations Who Experienced Partial or Complete Response., Number of Participants With Serious and Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)"
190134,,68,"Phase 1: Safety of NT-I7 in elderly patients after chemotherapy, Phase 1b: Evaluate and quantify if NT-I7 at optimal biological dose (OBD) has impacts on specific immune responses to vaccines"
TH1902-CTR-0001,,70,"Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability), Maximum tolerated dose (MTD) of TH1902., Recommended Phase 2 Dose (RP2D) of TH1902."
18112,,6,Maximum standardized uptake value (SUVmax) of 64Cu-DOTA-alendronate in evaluating tumor size and calcifications
KY20172047-1,,30,adverse events
BREAST HEMATOMA,,15,"Hematoma vacuum assisted biopsy success rate I, Symptom Resolution, Hematoma vacuum assisted biopsy success rate I"
mRNA-2752-P101,,264,"Number of Participants with Dose Limiting Toxicities (DLTs), Number of Participants with Adverse Events (AEs), Arm B: Overall Response Rate (ORR): Percentage of Participants with Tumor Response (Partial or Complete) Based on Response Evaluation Criteria In Solid Tumors Version 1.1 (RECIST v1.1) in Cutaneous Melanoma"
1380800-R,,123,"Functional assessment of Cancer Therapy-Cognitive Function, version 3. (FACT-Cog)., Memory Failures Everyday (MFE-30)., Hopkins Verbal Learning Test-Revised (HVLT-R)., Trail Making Test (TMT)., Controlled Oral Word Association Test (COWAT)."
7621,,200,"Change in reproductive distress, Change in sexual distress"
TomBakerCC,,72,"Patient Satisfaction Questionnaire (PSQ-III) - Select Subscales, Quality of Recovery 15"
SVIFT Nodal Trial,,132,Fatigue
CASE1Z21,,100,"Completeness of survey, Accuracy of survey"
IRB00075787,,30,"Number of Women Consenting to Have Mastectomy Flap Temperatures Measured During Surgery, Number of Women Having All Relevant Flap Temperatures Measured"
HB-AT-001,,14,Tumor response to HB-001
D161100000816006,,1981,"breast biopsy proved malignant or benign lesion, two breast ultrasound identified benign lesion"
ART4215C001,,330,"Part A: Number of participants with dose limiting toxicities (DLTs) from ART4215 monotherapy, in combination with talazoparib or in combination with niraparib, Part B1 and B2: Number of participants with adverse events following administration of ART4215, Part B3: Progression free survival (PFS) as a measure of efficacy for ART4215 in combination with talazoparib or talazoparib alone"
Duke-NUS,,60,"Assess the reach of the RISE program, Determine the acceptability of the RISE program, Success of implementation of the program., Collect feedback to improve the RISE program"
226947,,243,Determine information needs of patients with SS and develop a new questionnaire
SKNA pilot,,20,The skin sympathetic nerve activity presented as uV obtained via skin leads.
IIT2018-05-ASHER-IMPROV2,,13,Overall well-being
OU-SCC Virtual Reality,,20,"Proportion of patients who complete 2 VR sessions, Proportion of patients reporting ease of use for VR sessions, Proportion of overall adherence to radiation therapy"
2020-A03205-34,,40,Assess the feasibility and acceptability of the MAEva programme to patients in a specialised care facility
OPERA2,,53,"Reduction of AI induced arthralgia at 6 months, Reduction of AI induced arthralgia at 6 months"
TaiHao BR-USCAD VT 20-249,,16,Comparing the Area Under the LROC Curve
201907039,,210,Change in mammographic breast density between the two arms as measured by volumetric percent density
UMCC 2021.004,,30,"Percentage of participants engaging with the app at least 4 days/week, Percentage of participants that find the intervention useful, Percentage of participants satisfied with the intervention"
UPMREB 2021-140-01,,54,Incidence of high grade acute radiation dermatitis
15/LO/1038 BRACELET,,75,Arm movements
KS01,,70,"Postoperative pain score, Postoperative tramadol consumption, Rescue analgesic"
MS-268-2019,,60,Total amount of postoperative morphine consumption in 24 hours. (mg)
BoCCE,,200,Distance in mm between the biopsy site and the area of greatest malignancy/grade in the operating piece.
875329B,,120,"Recruitment rate, Participant retention rate, Technology Adherence rate"
MS-536-2021,,90,Total amount of morphine consumed postoperatively for 24 hours.
Gyn F-Chem,Funding withdrawn from sponsor.,81,"ZSDS = Zung Self-rating Depression Scale, Quality of life questionnaire - Core30, Patient diary, number of emetic episodes, the intensity of Nausea and QoL evaluation (functional living index-emesis questionnaire), Fatigue assessment questionnaire (FAQ), Screening Scale for Taste Alteration (TA)"
PROICM 2019-06 COH,,53,Proportion of patients who have enrolled in the pre-habilitation program
NCCH1905,,506,"Percentage of patients with one or more genetic abnormalities among all examination cases, Percentage of patients with each genetic abnormality among all examination cases"
D3614C00004,,11,"Area under plasma concentration-time curve from zero to infinity (AUCinf) of capivasertib, Maximum observed plasma (peak) drug concentration (Cmax) of capivasertib"
1449,,56,Postoperative Pain and 24-hour narcotic consumption
RocuMAST,,8,Correlation between Trend of Four (TOF) and Bispectral Index (BIS) values
CHD22_0002,,256,Evaluating the anxiety of the patient benefiting from a virtual reality session versus normal care management
CLINP-001001,,136,"Incidence of the device and procedure-related adverse events, Perceived success of breast tissue expansion, Expected completion of breast tissue expansion, Satisfaction assessed by the 5 point Likert scale"
1920306,,300,Purpose Status Question
17-VIN-0855,,45,"Cmax, AUC0-t"
2022-01423-01,,380,"Re-operations, Length of stay (LOS) in hospital"
2019-0557,,10,"Comparison of Necrotic tissue area determined visually by the operating surgeon vs indocyanine Green (ICG) microangiography, Time to achieve the peak fluorescent signal from necrotic tissue using ICG, Percentage overlap of identified areas of necrosis determined by ICG and clinical standard of care"
Breast 2019,,260,surgery or biopsy
D0817C00098,,292,Safety follow up
2017-377,,50,Morphine consumption
IZKSZ3_188408 / 1,,228,"Profile of Mood States (POMS), Change in proportion of informed relatives, Informing Relatives Inventory, Intention to have genetic testing, Reach, Effectiveness, Adoption, Implementation, Maintenance"
2018-94,,75,Morphine consumption
ORIN1001-C1,,350,"Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Pharmacokinetic Evaluation, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability, Assessment of tolerability"
UMCC 2020.041,,44,Absolute change in Brief Pain Inventory (BPI) worst pain from baseline to week 15
H-42207 GAIL-N,,94,Determine maximum tolerated dose (MTD) of C7R-GD2.CART Cells
Esogu Anesthesia,,20,"Sympathetic block level evaluation with skin conductivity, Sympathetic block level evaluation with skin temperature, Sympathetic block level evaluation with hot cold test, Sympathetic block level evaluation by hemodynamic data, Sensorial block level evaluation"
TED16925,,200,"Part 1: Dose Escalation Determine the MTD/maximum administered dose (MAD) and RP2D of SAR443216, Part 1: Dose Escalation: Safety of SAR443216, Part 2: Dose Expansion Objective response rate (ORR) of SAR443216 in all participants, Part 2: Dose Expansion Duration of response (DoR) of SAR443216 in all participants."
Telerehab CH Feasibility,,40,"Change in Montreal Cognitive Assessment (MoCA), Change in Test of Pre-morbid Functioning, Change in NAB Attention Module, Change in NAB Functioning Word Module, Change in Trail Making Test, Change in Hopkins Verbal Learning Test Revised, Change in Brief Visuo-spatial Memory Test, Revised (BVMT-R)"
RPC006,,90,"PROMIS (Patient-Reported Outcomes Measurement Information System) Global 10 Health Questionnaire to assess change from baseline., Symptom Assessment Questionnaire to assess change from baseline."
BEX15859,,6,"Percentage of radioactive dose, SAR439859 and M7 excreted in urine and feces after IV administration, Percentage of radioactive dose excreted in urine and feces after oral administration, Assessment of Pharmacokinetic (PK) parameter: AUC for radioactivity and SAR439859 after IV administration, Assessment of PK parameter: t1/2z for radioactivity and SAR439859 after IV administration, Assessment of PK parameter: CL for SAR439859 after IV administration, Assessment of PK parameter: AUC ratios after IV administration, Assessment of PK parameter: Cmax for radioactivity and SAR439859 after oral administration, Assessment of PK parameter: tmax for radioactivity and SAR439859 after oral administration, Assessment of PK parameter: AUC for radioactivity and SAR439859 after oral administration, Assessment of PK parameter: t1/2z for radioactivity and SAR439859 after oral administration, Assessment of PK parameter: AUC ratios after oral administration, Assessment of PK parameter: Cmax for M7 after IV and oral administration, Assessment of PK parameter: AUC for M7 after IV and oral administration, Assessment of PK parameter: t1/2z for M7 after IV and oral administration, Assessment of PK parameter: Rmet Cmax after IV and oral administration, Assessment of PK parameter: Rmet AUC after IV and oral administration, Absolute oral bioavailability of SAR439859, Relative bioavailability of SAR439859 after oral administration"
waitingroom,,106,anxiety and stress measurements
CP-10-001,,41,"Incidence of adverse events (AEs) and serious adverse events (SAEs) Adverse events (AEs), Correlation between pathology results and device readings, Ergonomic Assessment of the Smart Biopsy Device"
REB16-1463,,128,Medication adherence measured using medication possession ratio (MPR)
UF-STO-ETG-003,,29,Objective response rate (ORR)
UMCC 2020.157,,139,Change in fatigue assessed with Patient-Reported Outcomes Measurement Information System (PROMIS) Short Form (SF) Fatigue 4a
OnkoFit II,,201,Evaluation of the impact of an Activity tracker based Fitness programme on the Qualitiy of Life after oncological Therapy
R7075-ONC-2009,,434,"The incidence of dose-limiting toxicities (DLTs) during the DLT period, Incidence and severity of treatment emergent adverse events (TEAEs), Incidence and severity of adverse events of special interest (AESIs), Incidence and severity of serious adverse events (SAEs), Incidence and severity of grade ≥3 laboratory abnormalities, Objective Response Rate (ORR)"
CART-TnMUC1-01,The sponsor finds the risk/benefit analysis unfavorable and has terminated the study.,16,"Dose Escalation: Dose Identification of CART-TnMUC1, Cohort Expansion: Objective Response in solid tumors"
PT06-01,,60,"Rate of Adverse Events, Rate of Laboratory Abnormalities, Dose confirmation, Tumor Assessments by RESIST"
2019/2944,,12,"recurrence of the lesion, breast cosmetic outcome, pain score, pain score"
SPI-POZ-501,,20,Number of patients with serious adverse events
LCB-1801-001,,40,"Adverse Events (AEs), Dose Limiting Toxicity (DLT), Non-Tolerated Dose (NTD), Maximum Tolerated Dose (MTD)"
PECS vs SAP,,50,The first request for analgesia
2020-000495-37,,6,"determination of the recommended dose of 99mTc-NTP 15-5 to obtain the best tracer joints contrast on images without any toxicity, dose-limiting toxicity (DLT)"
2018-0175,,100,"Postop pain and satisfaction scores, The Number of adverse events"
2021-082,,13,Changes from Baseline in intraabdominal pressure at timepoint immediate after- and 24 hours after abdominal skin closure.
012018CONTROL,,80,Left Ventricular Ejection Fraction reduction assessed by Cardiac Magnetic Resonance
18232,,200,Percent changes in NF-L levels from Baseline to up to 6 months after the last dose of chemotherapy
R19258,,200,"Number of patients enrolled in the clinic., Reasons for not enrolling to the study., Reasons for not completing the intervention (drop out)., Percentage of adherence to the intervention completing ePROs surveys, Number of patients who partake in healthcare professional consultations after ePRO data triggers., Average consultation time in the Womens Survivorship Clinic."
2020/03FEV/065,,241,"Validation of MANIV-optimized Gating strategy for breast tumors, Validation of MANIV-optimized Gating strategy for lung and liver tumors, Validation of MANIV-optimized Tracking strategy, In silico evaluation of viability with treatment by protontherapy in SL mode"
2012-001-108,,144,number of PONV
HREC/74777/Alfred-2021,,4300,The incidence of moderate or severe CPSP related to the site of surgery at 1 year after surgery
7905,,40,Overall Pain Response
ARX788-1711,,106,"Number of subjects experiencing adverse events, frequency and seriousness of treatment emergent adverse events (TEAEs), Phase 1b: Objective response rate (ORR: complete response + partial response) per imaging assessment based on RECIST version 1.1."
69HCL18_0492,,132,"The main primary endpoint will be reached, if the xenograft rate using patients samples is ≥ 50% with the INOVOTION automated process."
BB-1701-101,,208,"Number of subjects with adverse events and serious adverse events, Number of subjects with dose limiting toxicity (DLT), MTD"
D9720C00001,,559,"The number of subjects with adverse events/serious adverse events, The number of subjects with dose-limiting toxicity (DLT), as defined in the protocol."
XuanWuH-NK,,200,Incidence of toxicity induced by NK infusion
FPX-01-01,,253,"Dose Escalation: Incidence of adverse events (AEs)., Single-Dose Escalation: Incidence of dose limiting toxicities (DLTs)., Multi-Dose Escalation: Incidence of DLTs., Dose Escalation: Incidence of clinically significant clinical laboratory abnormalities., Dose Escalation: Changes in electrocardiogram (ECG) parameters (PR, QRS, QT, and QTc intervals)., Cold Antibody Sub-Study: Changes in uptake of [111In]-FPI-1547 Injection following FPI-1175 Infusion in selected regions of interest on SPECT/CT images., Cold Antibody Sub-Study: Changes in radiation dose estimates for selected tissues, organs and whole body both for [111In]-FPI-1547 and [225Ac]-FPI-1434 Injection at various dose levels following FPI-1175 Infusion., Evaluate anti-tumour activity of [225Ac]-FPI-1434 regimen, Objective response rate (ORR) RECIST v1.1."
RAPA-201-STP-01,,22,Safety of RAPA-201 Cell Therapy
HC-404-FCP-2011,,36,"Determination of MTD of HC-5404-FU, Occurrence of dose-limiting toxicities (DLTs), Incidence and severity of treatment-emergent adverse events (TEAEs) and treatment related TEAEs according to National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v 5.0, Incidence of TEAEs leading to premature discontinuation, Incidence of significant laboratory abnormalities, based on hematology, serum chemistry, and urinalysis test results, Incidence of abnormalities observed in 12 lead ECG parameters, Incidence of abnormalities observed in vital signs measurements and physical examinations"
assuitu faculty of medicine,,1,breast conservative surgery after neoadjuvant chemotherapy
STUDY00015358,,30,"Acceptability, Feasibility of doing exercises"
ONCX-NAV-G201,,180,"Overall Response Rate (ORR), Progression Free Survival (PFS)"
CRUKD/22/002,,135,"Recommended Phase II dose (Part A), Number of grade 3, 4 and 5 adverse events related to HMBD-001 (Part A & B), Number of patients achieving a complete response (CR) or partial response (PR) to HMBD-001 in the chosen tumour types (Part B)"
042201,,60,Number of Participants With at Least One Adverse Event will be measured using Common Terminology Criteria for Adverse Events (CTCAE) v5.0 for five years
DCC-2036-01-004,,117,"Adverse Events (Part 1 and Part 2), Objective response rate (ORR) (Part 2)"
NM1F-T1-01,,38,"Dose-limiting Toxicity (DLT), Dose-Finding, Frequency and Severity of Adverse Events (AE)"
213409,,26,"Number of participants with adverse events (AEs), serious adverse events (SAEs) and AEs of special interest (AESI), Number of participants with clinically significant changes in Eastern Co-operative Oncology Group (ECOG) performance status, Number of participants with clinically significant changes in hematology and clinical chemistry parameters, Number of participants with clinically significant changes in vital signs, Number of participants with clinically significant changes in physical examination, Number of participants with use of concomitant medications"
ICO-2020-06,,262,Efficacy of neoadjuvant hormonotherapy
OMO-103-01,,22,"Phase 1: Number of patients with treatment related AEs according to NCI CTCAE v 5, Phase 2: Objective Response Rate (ORR) according to RECIST 1.1"
849679,,150,Change in daily step count
UC-0101/1709,,150,"Maximum Tolerated Dose (MTD) and the phase II recommended dose (RP2D), CBR-24week"
4-2020-0165,,2000,"Postoperative complication rates in 30 days, Clavien-Dindo grade of postoperative complications"
ZN-A-1041-101-US,,210,"The Incidence of Treatment-Emergent Adverse Events of ZN-A-1041 as a monotherapy in Phase 1a, The Incidence of Treatment-Emergent Adverse Events of ZN-A-1041 in combination with T-DM1 or with T-DXd, or in combination with PHESGO or Herceptin plus Perjeta, RP2D Dose"
UW21084,,138,"Fatigue levels, Fatigue levels"
IRB#56402,,500,Identify Cancer-related Biomarkers
TAEK-VAC-HerBy-001,,55,Patients with Dose Limiting Toxicity (DLT)
C4161001,,320,"Dose Escalation: Number of participants with Dose-limiting toxicities (DLT) during first cycle, To evaluate incidence of treatment emergent adverse events and laboratory abnormalities, Evaluate pulse rate that is out of normal range and changes in pulse rate as compared to baseline, Evaluate blood pressure that is out of normal range and changes in blood pressure as compared to baseline, To evaluate heart rate corrected QT interval and changes in corrected QT interval as compared to baseline, To evaluate the preliminary antitumor activity of PF-07104091 as a single agent and in combination with palbociclib and in combination with letrozole or fulvestrant or fulvestrant alone by objective response rate (ORR) in dose expansion"
MORAb-202-G000-201,,55,"Dose Escalation Part: Recommended Phase 2 Dose (RP2D) of Farletuzumab Ecteribulin, Objective Response Rate (ORR), Number of Participants With Dose-limiting Toxicities (DLTs), Number of Participants With Serious Adverse Events (SAEs), Adverse Events (AEs) Leading to Treatment Discontinuation and Adverse Events of Interest (AEIs)"
18-27025,,40,Mean Change in Waist Circumference Over Time
APHP210583,,320,Global analysis of 3D mapping of physical doses delivered to organs by positioning imaging.
19-652,,220,Rate of patients who have germline genetic tests
BESTa,,220,"Comprehensibility regarding iDA content, Usability regarding iDA format, Feasibility regarding iDA format"
SOLTI-1804,,180,identify the optimal ERBB2 mRNA cut-point predictive of T-DXd response
M19-037,,150,"Dose Expansion: Objective Response Rate (ORR), Dose-Escalation Phase: Recommended Phase 2 Dose (RP2D) of ABBV-927 + ABBV-368, Dose-Escalation Phase: Recommended Phase 2 Dose (RP2D) of ABBV-927 + ABBV-368 + ABBV-181"
2020-00256; ch18Weber4,,372,"Change in BREAST-Q scale, Change in EQ-5D-5L questionnaire"
OSU-21313,,225,Message-specific knowledge/recall accuracy
AN0025S0103,,84,Primary Outcome Measure
202202104,,100,"Compliance with CoC quality of cancer care measures: Hormone therapy (HT), Compliance with CoC quality of cancer care measures: 12 regional lymph nodes (12RLN)"
Medipol Hospital 9,,90,Opioid consumption
69HCL18_0369,,410,ROC curve AUC regarding diagnostic accuracy of progastrin levels at baseline in cancer patients compared to non-cancer controls
2019/629,,300,"Consistency of breast density measurements from the latest VolparaTM breast density tool for Hologics FFDM and DBT images (i.e. combo mode)."", ""Comparison of VolparaTMs Volumetric Breast Density measurements and its 4-classes density rating measured in DBT against QuantraTM 3D and radiologists BI-RADS manual classification"
200023,,64,"To identify the maximum tolerated dose (MTD) of metarrestin in subjects with metastatic solid tumors, To determine the Objective Response Rate (ORR) according to Evaluation Criteria (RECIST 1.1) in patients treated with metarrestin at the MTD"
RB-vs-RG-BCS,,242,"Oncological safety, Cosmetic results, ""Patients satisfaction"", Quality of life"
CHANCES-IPC 2021-008,,27,Occurrence of dose limiting toxicity (DLT) of IPH5301 in monotherapy in the dose escalation and in combination with paclitaxel and trastuzumab in the expansion cohort
17-694,Unable to recruit to study due to limited number of patients with ADH,5,CESMs Ability to Predict Upgrade Rates of Biopsy Proven ADH at Surgical Excision
SLS17-201/MK3475-770,,90,"Number and frequency of TRAEs, including UARs, and SAEs (safety parameters) - for all tumor types, Overall response rate (ORR) by RECIST - for solid tumor arms, Complete Response (CR) rate - for AML arm only"
AP2207-30110,,60,Total morphine consumption in the first 24 hours postoperatively.
FZPL-Ⅲ-301-OC,,252,"Progression free survival(PFS) by Blinded Independent Review Committee (BIRC) in relapsed ovarian cancer patients, Progression free survival(PFS) by BIRC in relapsed ovarian cancer patients with Breast cancer susceptibility gene(BRCA) mutant"
2015-KAEK-64-22-09,,36,Arm circumference measurement
2022-0329,,1000,To identify underserved women at risk for hereditary breast and colorectal cancers eligible for standard-of-care genetic counseling using national screening guidelines.
CLODIS,,60,Number of puncture(s) after inclusion in both patient groups
KE-0254/92/2018,,75,Quality of recovery 40
G423 Multi TP,,51,"Outcomes for Primary Aim 1 - 50 intervention participants with a diagnosis for lung, breast or ovarian cancer measuring the prevalence and severity of 18 different symptoms reported from home over 3 months."
2019-001982-34,,240,"Time to cancer progression, Mortality"
201803061RIND,,98,"Compare the ventilation efficacy of size 3 and size 4 i-gel® in anesthetized, paralyzed female patients weighing 50 to 60 kilograms who undergo breast surgery."
192004,,42,Maximum tolerated dose (MTD) of KK-LC-1 TCR-T cells
RIPH3-RNI18/NEUROTAX,,97,"Appearance of a neuropathy secondary to taxanes using Cancer Institute Common Terminology Criteria for Adverse Events (CTCAE), Appearance of a neuropathy secondary to taxanes using Total neuropathy score clinical (TNSc)"
22339,,120,Difference in Functional Assessment of Cancer Therapy/Gynecologic Oncology Group (FACT/GOG)-Neurotoxicity (Ntx) subscale scores
TAS2940-101,,42,"Dose Escalation:Maximum Tolerated Dose (MTD), Dose Expansion:Overall Response Rate"
Bio2738,,48,Shoulder Range of Motion (ROM)
20252,,1,"Incidence of treatment-emergent adverse events (TEAEs), Incidence of treatment-emergent serious adverse events (TESAEs), Incidence of drug-related TEAEs, Incidence of drug-related TESAEs"
2021-PrMa-RWiberg,,45,"Presence of residual glandular tissue, Presence of residual glandular tissue, Measurement of skin flap thickness, Measurement of skin flap thickness"
STM-IRB-22B-001,,136,"TRAEs severity, loss to follow-up rate, hospitalization rates, Retention rate, treatment completion rates"
69HCL20_0346,,205,"percentage of patients with a change in the planned therapeutic management (surgery, chemotherapy, radiotherapy, hormone therapy)"
21-5539,,117,"Drop-out rates as a measure of feasibility (demand/update of intervention), Patient preference as assessed during clinical support as a measure of feasibility (acceptability), Measuring safety/practicality as assessed during one-on-one with the health coach (analyzed as qualitative data)"
2018-1361,,323,"Change in the Weekly minutes of moderate- to-vigorous physical activity (MVPA) as measured by actigraph"", ""Change in the Weekly minutes of MVPA as measured by Fitbit"", ""Change in the Weekly minutes of MVPA as reported in Self-report"", Godin Leisure Time Exercise Questionnaire (GLTEQ) score, ""Change in the Sitting time per week"
MC1713,,43,"Adverse events, Dose limiting toxicities"
HREBA.CC-18-0028,,178,Fatigue
E-SN@P PROJECT-IPC 2017-029,,119,demonstrate that the adherence rate of digital follow-up is greater than 70% in a population of elderly patients.
