ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
200023,Metarrestin (ML-246) in Subjects With Metastatic Solid Tumors,Recruiting,Interventional,"Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No
CHANCES-IPC 2021-008,A Phase 1 First-In-Human Study of the Anti-CD73 IPH5301 Alone or in Combination With Chemotherapy and Trastuzumab in Patients With Advanced Solid Tumors,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No
17-694,Role of Contrast Enhanced Spectral Mammography to Predict Upgrade Rates of Biopsy Proven Atypical Ductal Hyperplasia,Terminated,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
SLS17-201/MK3475-770,Galinpepimut-S in Combination With Pembrolizumab in Patients With Selected Advanced Cancers,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Biological, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
AP2207-30110,Dexmedetomidine vs Dexamethasone as Adjuvant to Bupivacaine in Bilevel Erector Spinae Plane Block in Breast Surgeries,Recruiting,Interventional,"Active Comparator, Experimental, Experimental, Experimental","Procedure, Procedure, Procedure, Drug",Parallel Assignment,Not Applicable,No,No
2015-KAEK-64-22-09,High Intensity vs Low Intensity Resistive Exercise In Patient With Upper Extremity Lymphedema,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
FZPL-Ⅲ-301-OC,A Trial of Maintenance Treatment With Fluzoparib Versus Placebo in Relapsed Ovarian Cancer Patients,"Active, not recruiting",Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
2022-0329,Identifying Underserved Individuals inTexas With Hereditary Cancer Risk Using Mobile Mammography Units and Telegenetics.,Recruiting,Interventional,"Other, Other","Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No
CLODIS,Local Compression Seroma DIminution Objective (CLODIS),Unknown status,Interventional,"Experimental, Active Comparator","Device, Procedure",Parallel Assignment,Phase 3,No,No
KE-0254/92/2018,ESP in Breast Surgery Due to Cancer,Completed,Interventional,"Placebo Comparator, Experimental, Sham Comparator","Procedure, Procedure, Procedure, Procedure, Drug, Drug",Parallel Assignment,Phase 4,No,No
G423 Multi TP,Improving Cancer Outcomes Through Personalized Care Planning and Symptom Management.,Completed,Interventional,,Other,Single Group Assignment,Not Applicable,No,No
2019-001982-34,Measuring Oncological Value of Exercise and Statin,Not yet recruiting,Interventional,"Experimental, Experimental, Active Comparator","Behavioral, Drug, Other",Parallel Assignment,Phase 3,No,No
201803061RIND,Ventilation Efficacy of Size 3 or Size 4 I-gel in Female Patient Weighing 50 to 60 Kilograms,Unknown status,Interventional,"Active Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,No
192004,"KK-LC-1 TCR-T Cell Therapy for Gastric, Breast, Cervical, and Lung Cancer",Recruiting,Interventional,Experimental,"Drug, Drug",Sequential Assignment,Phase 1,Yes,No
22339,Phytocannabinoids for the Treatment of Chronic Chemotherapy-Induced Peripheral Neuropathy in Breast and Colon Cancer Survivors,Not yet recruiting,Interventional,"Experimental, Experimental, Placebo Comparator","Drug, Drug, Drug, Other",Parallel Assignment,Early Phase 1,Yes,No
TAS2940-101,A Study of TAS2940 in Participants With Locally Advanced or Metastatic Solid Tumor Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No
Bio2738,Shoulder Rehabilitation Using a Mobile App Following Breast Reconstruction,Recruiting,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
20252,Roll-over Study to Continue Treatment With the Investigational Drug Rogaratinib and to Further Test Its Safety,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
STM-IRB-22B-001,Development and Testing of a TTDSS for Cancer Patients,Recruiting,Interventional,"Experimental, No Intervention","Device, Device",Parallel Assignment,Not Applicable,No,No
21-5539,Rehabilitation for People With Advanced Cancer,Recruiting,Interventional,"No Intervention, Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
2018-1361,Physical Activity Promotion for Breast and Endometrial Cancer Survivors,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Other, Other, Other",Sequential Assignment,Not Applicable,No,No
MC1713,A Vaccine (H2NVAC) Before Surgery for the Treatment of HER2-Expressing Ductal Carcinoma In Situ,Recruiting,Interventional,Experimental,"Biological, Biological, Procedure",Single Group Assignment,Phase 1,Yes,No
HREBA.CC-18-0028,The ONE-MIND Study: Evaluating the Efficacy of Online Mindfulness-Based Cancer Recovery During Chemotherapy Treatment,Recruiting,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,Not Applicable,No,No
E-SN@P PROJECT-IPC 2017-029,Assessment of Outpatient Digital Follow-up of Patients Over 70 Years of Age Undergoing Chemotherapy Treatment,Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
PASCA,A Post-treatment Program to Identify and Manage Complications Related to Oncology or Hematology Treatments in Cancer Survivors.,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
H-49731,Improving Comprehensive Care of Cancer Patients,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
BrUOG 390,BrUOG 390: Neoadjuvant Treatment With Talazoparib,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
EC/2018/0315,Hormone Replacement Trial Against ALzheimers Disease,Recruiting,Interventional,"Other, Other, Other, Other, Other, Other, Other, Other, Other, Other",Procedure,Parallel Assignment,Not Applicable,No,No
CIMS-2019-01,4FMFES-PET Imaging of Endometrial and Ovarian Cancers,Recruiting,Interventional,"No Intervention, Experimental, Experimental","Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No
XL102-101,Study of XL102 as Single-Agent and Combination Therapy in Subjects With Solid Tumors (QUARTZ-101),Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
Dnr 2019-04151,Exercise as Medicine for People With Cancer Sweden,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
2021-001624-17,Micronized Progesterone Versus Norethisterone Acetate in Combination With Estrogen as Menopausal Hormone Therapy,Recruiting,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
GCO 21-0012,Diversity and Inclusion in Research Underpinning Prevention and Therapy Trials,Recruiting,Interventional,"Active Comparator, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
2018-0004,Negative Pressure Wound Therapy in Healing Abdominal Incision in Obese Patients Undergoing Breast Reconstruction Surgery,Recruiting,Interventional,"Active Comparator, Experimental","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
823981A,Oncology Episode Payment Model in Hawaii,"Active, not recruiting",Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
NIT-110 (KEYNOTE PNA60),NT-I7 (Efineptakin Alfa) in Combination With Pembrolizumab in Participants With Advanced Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
BT-001.01,A Clinical Trial Assessing BT-001 Alone and in Combination With Pembrolizumab in Metastatic or Advanced Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental","Biological, Biological",Sequential Assignment,"Phase 1, Phase 2",No,No
Pro00106186,Ipsilateral Peripheral Intravenous Access Procedures (The iPIVAP Study),Recruiting,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
Laser treatment,Laser Treatment of Genito-urinary Syndrome in Women,Not yet recruiting,Interventional,"Active Comparator, Sham Comparator, Active Comparator, Sham Comparator, Active Comparator, Sham Comparator, Active Comparator, Sham Comparator","Procedure, Device, Device",Parallel Assignment,Not Applicable,No,No
PROICM 2017-05 BAL,Analysis of Circulating Tumor Markers in Blood,Recruiting,Interventional,"Other, Other",Biological,Parallel Assignment,Not Applicable,No,No
Breast Biopsy,The Effect of Education Given at Different Times Before a Breast Biopsy,Completed,Interventional,"Experimental, Experimental, Experimental","Other, Other, Other",Parallel Assignment,Not Applicable,No,No
GOP,Goserelin for Ovarian Protection in Premenopausal Patients Receiving Cyclophosphamide,Unknown status,Interventional,"No Intervention, Experimental",Drug,Parallel Assignment,Phase 2,No,No
IRB00167074,Sensory Restoration After DIEP Flap Neurotization,Recruiting,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
CDKY709A12101C,Study of Safety and Efficacy of DKY709 Alone or in Combination With PDR001 in Patients With Advanced Solid Tumors.,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 1,Yes,No
IRB#21-001169,Postoperative Opt-In Narcotics Treatment in Breast,Not yet recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
Pro00102260,Hypertension Management in Cancer Patients,Suspended,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
19829,"A First in Human Study of BAY2701439 to Look at Safety, How the Body Absorbs, Distributes and Excretes the Drug, and How Well the Drug Works in Participants With Advanced Cancer Expressing the HER2 Protein","Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No
CE3220.,Efficacy of the Mepitel® Film on the Prevention of Radiodermatitis in the Inguinal Fold.,Not yet recruiting,Interventional,"Active Comparator, Experimental","Device, Other",Parallel Assignment,"Phase 1, Phase 2",No,No
00011271,HeartPhone Cancer Survivors Trial 2019,Terminated,Interventional,Experimental,"Behavioral, Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No
METCZ20220056,EvaLuating negAtive pressUre Wound theRapy in brEast coNserving Surgery,Not yet recruiting,Interventional,"Experimental, No Intervention",Device,Single Group Assignment,Not Applicable,No,No
RC31/17/0350,Use of Compression Bandages in the Prevention of Post-mastectomy Lymphoceles,Recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No
19-179,Acupuncture Pilot Study for Cancer-related Cognitive Function,"Active, not recruiting",Interventional,"Experimental, Sham Comparator, Other","Other, Other, Other",Parallel Assignment,Phase 2,No,No
180276,Promotora Navigator - Culturally Appropriate Patient Navigator,Completed,Interventional,"Active Comparator, Experimental, Experimental","Behavioral, Behavioral, Other",Parallel Assignment,Not Applicable,No,No
213353,Study to Evaluate the Efficacy and Safety of the Combination of Niraparib and Dostarlimab (TSR-042) in Participants With Platinum Resistant Ovarian Cancer,Terminated,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No
ebeddows,Botulinum Toxin A for the Treatment of Chemotherapy Induced Peripheral Neuropathy,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
IFCT-1703,Her2-positive Lung Cancer Treated With Dedicated Drug,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
CS001-SA,Safety Assessment of P2Et Extract in Healthy Voluntary Subjects in Colombia,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No
MSK8/22,The Effect of Rhomboid Intercostal Block and Serratus Anterior Plane Block on Postoperative Respiratory Functions,Not yet recruiting,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
JAB-2485-1001,JAB-2485 Activity in Adult Patients With Advanced Solid Tumors,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
BA3021-001,CAB-ROR2-ADC Safety and Efficacy Study in Patients With TNBC or Head & Neck Cancer (Ph1) and NSCLC or Melanoma (Ph2),Recruiting,Interventional,"Experimental, Experimental","Biological, Biological",Parallel Assignment,"Phase 1, Phase 2",Yes,No
2020-05-001B,Regional Anesthesia in Breast Surgery,Unknown status,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
PRT2527-01,A Study of PRT2527 in Participants With Advanced Solid Tumors,Recruiting,Interventional,Experimental,Drug,Sequential Assignment,Phase 1,Yes,No
13104,Tranexamic Acid for Alloplastic Breast Reconstruction,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
RECHMPL22_0024,Liquid Biopsy and Pancreas Cancer: Detection of AXL(+) CTCs (CTC-AXL-PANC),Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
21-369,A Study Evaluating the Integrative Medicine at Home (IM@HOME) Program in People With Cancer,Recruiting,Interventional,"Experimental, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
120134,NPWT for Abdominal Incisions in DIEP Reconstructions: A RCT,Not yet recruiting,Interventional,"Experimental, Active Comparator",Device,Parallel Assignment,Not Applicable,No,Yes
Pro00078230,Erector Spinae Plane Block Versus Paravertebral Block,Completed,Interventional,"Active Comparator, Experimental","Procedure, Procedure, Drug, Drug, Drug",Parallel Assignment,Not Applicable,No,No
18-000948,Investigating Magnesium Glycinate in Structure/Function Role of Hot Flashes.,Completed,Interventional,"Experimental, Placebo Comparator","Dietary Supplement, Other",Parallel Assignment,Not Applicable,No,No
20-08,Prospective Case Collection Study for New Mammography Technologies,Recruiting,Interventional,"Other, Other",Device,Single Group Assignment,Not Applicable,No,Yes
AP2001-50504,Erector Spinae Block Versus PECS Block Type II for Breast Surgeries,Completed,Interventional,"Active Comparator, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No
FMBSURECS/30042019/Ali,Efficacy of Serratus Anterior Plane Block Mastectomy,Completed,Interventional,"Active Comparator, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No
21-192,TIPOPS (Telemedicine vs In Person Oncology Patient Surveillance),Completed,Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
SBT6290-101,A Safety and Preliminary Efficacy Study of SBT6290 Alone and in Combination With PD-(L)1 Inhibitors in Select Advanced Solid Tumors,Withdrawn,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
CRYO for Mastectomy (DoD),Ultrasound-Guided Percutaneous Cryoneurolysis to Treat Postoperative Pain After Mastectomy,Enrolling by invitation,Interventional,"Active Comparator, Sham Comparator","Device, Device",Parallel Assignment,Not Applicable,No,Yes
FMASUMD45/2021,Role of Statin Therapy in Prevention of Anthracycline-Induced Cardiotoxicity,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Other",Parallel Assignment,"Phase 2, Phase 3",No,No
PT3465,Effect of Thera Band Exercises on Adhesive Capsulitis Post Mastectomy,Completed,Interventional,"Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
Lishui Peoples Hospital,Interventional Therapy Sequential With the Fourth-generation CAR-T Targeting Nectin4/FAP for Malignant Solid Tumors,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No
HAN2014005-CT02,"Evaluation of the Efficacy and Safety of A High Molecular Weight, Natural Hyaluronic Acid Vaginal Gel in Women With Genitourinary Syndrome of Menopause",Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
SHEBA-19-6136-RS-CTIL,Sequentional Immuno Apheresis Plasma Volume Escalation Cohort Study of Reduction of Soluble Tumor Necrosis Factor Receptors 1 and 2 (sTNFR1/2) With or Without Nivolumab in Patients With Inoperable or Metastatic Solid Tumors,Unknown status,Interventional,"Active Comparator, Active Comparator",Combination Product,Sequential Assignment,Phase 1,No,No
GS-US-417-5937,Study to Evaluate Organic Anion Transporting Polypeptide (OATP) Transporter-Mediated Drug-Drug Interactions Between Filgotinib and Statins as Probe Drugs in Healthy Participants,Completed,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Crossover Assignment,Phase 1,Yes,No
2021/01159,Optimizing and Personalising Azacitidine Combination Therapy for Treating Solid Tumours QPOP and CURATE.AI,Not yet recruiting,Interventional,Experimental,"Device, Device, Drug, Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",No,No
SOGUG-2016-A-IEC(PRO)-12,Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response (IMANOL),Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
PPP005-Ph2/3-01,Cannabis Oil and Radiation Therapy for the Management of Pain,Terminated,Interventional,"Experimental, Placebo Comparator","Radiation, Radiation",Parallel Assignment,Phase 2,No,No
AAAS9968,Hair Care Product Use Among Women Of Color,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
METCZ2019016,Seroma Reduction and Drain Free Mastectomy,Recruiting,Interventional,"Active Comparator, Experimental","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
HSL 2016-83,Determination of Autonomic Responses to the Exposure of Low Energy Electromagnetic Fields With Frequency Modulation in Patients With Advanced Hepatocellular Carcinoma and Healthy Individuals.,Unknown status,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
IMM2902-101,"IMM2902, a HER2/SIRPα Bispecific mAb-Trap Antibody-receptor Fusion Protein, in Patients With HER2-expressing Advanced Solid Tumors",Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
NOX66-005,A Study of NOX66 and External Beam Radiotherapy in Patients With Metastatic Castration-resistant Prostate Cancer and Other Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Radiation",Sequential Assignment,"Phase 1, Phase 2",Yes,No
CCR5063,Evaluation of an Educational Intervention for Women With Breast Pain,Unknown status,Interventional,Experimental,"Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No
BGB-3111-108,A Pharmacokinetic Study to Assess Drug-drug Interaction Between Zanubrutinib and a Cocktail of Substrates in Healthy Subjects,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
2020/14MAI/273,Serum Neurofilament Light (NFL) in Surgery Under General Anaesthesia (GA) Compared to Surgery With Hypno-analgesia (Hyp),Recruiting,Interventional,"Active Comparator, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
B4T2-PRC-IIT-001,A Clinical Study to Evaluate B4T2-001 CAR T Cells in the Treatment of Advanced Solid Tumors,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No
PROACTIVE,"Pharmacokinetic Boosting of Olaparib to Improve Exposure, Tolerance and Cost-effectiveness",Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 4,No,No
875351,Artificial Intelligence Supporting CAncer Patients Across Europe - the ASCAPE Project,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Phase 2,No,No
CX-839-011,Study of CB-839 (Telaglenastat) in Combination With Talazoparib in Patients With Solid Tumors,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
16-010491,Preventing Lymphedema in Axillary Lymph Node Dissection,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
INT17676,A Study to Assess the Effect of Oral Belumosudil on Inhibition of Various Proteins in the Fed State in Healthy Male Subjects,Completed,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
ESG401-101,Study of ESG401 in Adults With Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",No,No
GS-US-382-1587,Drug-Drug Interaction Study of Vesatolimod in Adults With HIV-1 Who Have Very Low or Undetectable Virus Levels,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No
20221202,Primary Lesion Treatment for Bone Metastases,Not yet recruiting,Interventional,"Experimental, Experimental, No Intervention","Radiation, Procedure",Parallel Assignment,Not Applicable,No,No
KSCM-CRD-001,KeraStat(R) Cream for Radiation Dermatitis,Completed,Interventional,"Other, Experimental","Device, Other",Parallel Assignment,Not Applicable,No,Yes
201707042,Diagnostic US for Reduction of Benign Breast Biopsies Using US-guided Optical Tomography,Recruiting,Interventional,"Experimental, Experimental",Device,Sequential Assignment,Not Applicable,No,Yes
201810102MINC,Does Letrozole Improve Pregnancy Outcome in Fresh Embryo Transfer IVF/ICSI Cycle?,Unknown status,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 4,No,No
1237087,A Mind-Body Intervention for Hot Flash Management,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
P.T.REC/012/003747,Aerobic Training and Diet on the Immune System in Postmastectomy Patients Receiving Chemotherapy,Recruiting,Interventional,"Experimental, Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
GIHSYSU-26,"RC48 Plus Tislelizumab, Low-dose Capecitabine and Celecoxib for HER2-positive Metastatic Colorectal Cancer",Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
GO-1,SHARON: A Clinical Trial for Metastatic Cancer With an Inherited BRCA or PALB2 Mutation Using Chemotherapy and Patients Own Stem Cells,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug, Device",Single Group Assignment,Phase 1,Yes,Yes
BRCA-ACP.2022,Acupuncture With/Without Self-acupressure for Post-oophorectomy Hot Flashes in BRCA Carriers,Not yet recruiting,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
JK08.1.01,"A Study of JK08, an IL-15 Antibody Fusion Protein Targeting CTLA-4, in Patients With Unresectable Locally Advanced or Metastatic Cancer",Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",No,No
NC762-01,A Safety and Tolerability Study of NC762 in Subjects With Advanced or Metastatic Solid Tumors,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No
PARPA-293-001,Study of NMS-03305293 in Pts With Selected Advanced/Metastatic Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No
INT 36/18,Adjuvant CAPECITABINE in High Risk PSEUDOMYXOMA PERITONEI Patients,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
17237,HER2-CAR T Cells in Treating Patients With Recurrent Brain or Leptomeningeal Metastases,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,Yes,No
MER-XMT-2056-1,A Study of XMT-2056 in Advanced/Recurrent Solid Tumors That Express HER2,Suspended,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
ZL-2306-912 ALTER-OC-02,Niraparib Combined With Anlotinib in Homologous Recombination Repair (HRR) Gene-mutated Advanced Solid Tumors,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,No,No
CEP1:4/2016,BRCA Main Home Nutritional Intervention-random Study,Unknown status,Interventional,"Experimental, No Intervention",Dietary Supplement,Parallel Assignment,Not Applicable,No,No
Chemobrain Study,Cognitive Status Assessment In Elderly Patients With Active Treatment For Haematological Malignancies,Not yet recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
XB002-101,Study of XB002 in Subjects With Solid Tumors (JEWEL-101),Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
KlusPharma,Study of A166 in Patients With Relapsed/Refractory Cancers Expressing HER2 Antigen or Having Amplified HER2 Gene,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",Yes,No
AJIRB-MED-THE-18-236,Development of a New Immunotherapy Using Intramuscular Administration of Autologous Total IgG,Completed,Interventional,"Experimental, Experimental","Biological, Biological",Single Group Assignment,"Phase 1, Phase 2",No,No
JTU-6H-20210227001,Comparison Between IORT and Postoperative Radiotherapy in Breast Conserving Surgery,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No
69HCL22_0275,Control Cohort CTRL COH,Not yet recruiting,Interventional,Other,Biological,Single Group Assignment,Not Applicable,No,No
REPLAMOD,Histological Modifications of Postmenopausal Vaginal Mucosa After Repeated Carbon Dioxide (CO2) Laser Treatment,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
BTC-HER2,Trastuzumab in HER2-positive Biliary Tract Cancer,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
CASE2117,Sensation After Nipple Sparing Mastectomy and Breast Reconstruction With or Without Neurotized Free Tissue Transfer,Withdrawn,Interventional,"Active Comparator, Active Comparator, Experimental","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
H-38855,Ruxolitinib for Premalignant Breast Disease,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
4-2019-0648,Trastuzumab-pkrb Combined With Modified FOLFOX-6 in Biliary Tract Cancer Patients Progressed on First Line Therapy,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
TG-iConquerFear,Reducing Fear of Cancer Recurrence in Danish Colorectal Cancer Survivors,Not yet recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
TCM-padia001,Clinical Study on Prevention and Treatment of Pyrotinib Associated Diarrhea With Traditional Chinese Medicine,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
GO43860,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of RO7502175 as a Single Agent and in Combination With Atezolizumab in Participants With Locally Advanced or Metastatic Solid Tumors",Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No
C/35/2017,MRx0518 in Patients With Solid Tumours Waiting Surgical Removal of the Tumour,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,No,No
2018-003115-21,Basket Trial for Combination Therapy With Durvalumab (Anti-PDL1) (MEDI4736) and Tremelimumab (Anti-CTLA4) in Patients With Metastatic Solid Tumors,Withdrawn,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
EC29,Auto-Adjustable MOBIDERM® Autofit NIGHT-time Compression Armsleeve in the Upper Limb LYMphedema in Maintenance Phase,Recruiting,Interventional,"Placebo Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,No
2021/117,Photobiomodulation Therapy in the Prevention and Management of Chemotherapy-Induced Alopecia,Recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No
Health consortium maresme,Use of Glubran 2 ® in Axillary Lymphadenectomy Without Drain,Recruiting,Interventional,"Experimental, No Intervention",Other,Sequential Assignment,Not Applicable,No,No
HS-10502-101,A Study of Hansoh (HS)-10502 in Patients With Advanced Solid Tumors,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No
STUDY00023183,Humidified Forest Oils for Immune System Recovery in Stage I-III Breast or Prostate Cancer,Enrolling by invitation,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
