ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
MSK8/22,The Effect of Rhomboid Intercostal Block and Serratus Anterior Plane Block on Postoperative Respiratory Functions,61 days,Not yet recruiting,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No,64
JAB-2485-1001,JAB-2485 Activity in Adult Patients With Advanced Solid Tumors,1320 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,102
BA3021-001,CAB-ROR2-ADC Safety and Efficacy Study in Patients With TNBC or Head & Neck Cancer (Ph1) and NSCLC or Melanoma (Ph2),1829 days,Recruiting,Interventional,"Experimental, Experimental","Biological, Biological",Parallel Assignment,"Phase 1, Phase 2",Yes,No,420
2020-05-001B,Regional Anesthesia in Breast Surgery,364 days,Unknown status,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No,120
PRT2527-01,A Study of PRT2527 in Participants With Advanced Solid Tumors,655 days,Recruiting,Interventional,Experimental,Drug,Sequential Assignment,Phase 1,Yes,No,30
13104,Tranexamic Acid for Alloplastic Breast Reconstruction,731 days,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,106
RECHMPL22_0024,Liquid Biopsy and Pancreas Cancer: Detection of AXL(+) CTCs (CTC-AXL-PANC),808 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,63
21-369,A Study Evaluating the Integrative Medicine at Home (IM@HOME) Program in People With Cancer,730 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,200
120134,NPWT for Abdominal Incisions in DIEP Reconstructions: A RCT,1126 days,Not yet recruiting,Interventional,"Experimental, Active Comparator",Device,Parallel Assignment,Not Applicable,No,Yes,520
Pro00078230,Erector Spinae Plane Block Versus Paravertebral Block,1064 days,Completed,Interventional,"Active Comparator, Experimental","Procedure, Procedure, Drug, Drug, Drug",Parallel Assignment,Not Applicable,No,No,48
18-000948,Investigating Magnesium Glycinate in Structure/Function Role of Hot Flashes.,991 days,Completed,Interventional,"Experimental, Placebo Comparator","Dietary Supplement, Other",Parallel Assignment,Not Applicable,No,No,40
20-08,Prospective Case Collection Study for New Mammography Technologies,1452 days,Recruiting,Interventional,"Other, Other",Device,Single Group Assignment,Not Applicable,No,Yes,5400
AP2001-50504,Erector Spinae Block Versus PECS Block Type II for Breast Surgeries,356 days,Completed,Interventional,"Active Comparator, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No,60
FMBSURECS/30042019/Ali,Efficacy of Serratus Anterior Plane Block Mastectomy,208 days,Completed,Interventional,"Active Comparator, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No,40
21-192,TIPOPS (Telemedicine vs In Person Oncology Patient Surveillance),457 days,Completed,Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,30
SBT6290-101,A Safety and Preliminary Efficacy Study of SBT6290 Alone and in Combination With PD-(L)1 Inhibitors in Select Advanced Solid Tumors,30 days,Withdrawn,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,0
CRYO for Mastectomy (DoD),Ultrasound-Guided Percutaneous Cryoneurolysis to Treat Postoperative Pain After Mastectomy,1337 days,Enrolling by invitation,Interventional,"Active Comparator, Sham Comparator","Device, Device",Parallel Assignment,Not Applicable,No,Yes,216
FMASUMD45/2021,Role of Statin Therapy in Prevention of Anthracycline-Induced Cardiotoxicity,730 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Other",Parallel Assignment,"Phase 2, Phase 3",No,No,100
PT3465,Effect of Thera Band Exercises on Adhesive Capsulitis Post Mastectomy,360 days,Completed,Interventional,"Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,70
Lishui Peoples Hospital,Interventional Therapy Sequential With the Fourth-generation CAR-T Targeting Nectin4/FAP for Malignant Solid Tumors,1052 days,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No,30
HAN2014005-CT02,"Evaluation of the Efficacy and Safety of A High Molecular Weight, Natural Hyaluronic Acid Vaginal Gel in Women With Genitourinary Syndrome of Menopause",895 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,80
SHEBA-19-6136-RS-CTIL,Sequentional Immuno Apheresis Plasma Volume Escalation Cohort Study of Reduction of Soluble Tumor Necrosis Factor Receptors 1 and 2 (sTNFR1/2) With or Without Nivolumab in Patients With Inoperable or Metastatic Solid Tumors,1040 days,Unknown status,Interventional,"Active Comparator, Active Comparator",Combination Product,Sequential Assignment,Phase 1,No,No,30
GS-US-417-5937,Study to Evaluate Organic Anion Transporting Polypeptide (OATP) Transporter-Mediated Drug-Drug Interactions Between Filgotinib and Statins as Probe Drugs in Healthy Participants,70 days,Completed,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Crossover Assignment,Phase 1,Yes,No,27
2021/01159,Optimizing and Personalising Azacitidine Combination Therapy for Treating Solid Tumours QPOP and CURATE.AI,1768 days,Not yet recruiting,Interventional,Experimental,"Device, Device, Drug, Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",No,No,10
SOGUG-2016-A-IEC(PRO)-12,Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response (IMANOL),1556 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,16
PPP005-Ph2/3-01,Cannabis Oil and Radiation Therapy for the Management of Pain,261 days,Terminated,Interventional,"Experimental, Placebo Comparator","Radiation, Radiation",Parallel Assignment,Phase 2,No,No,100
AAAS9968,Hair Care Product Use Among Women Of Color,822 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,100
METCZ2019016,Seroma Reduction and Drain Free Mastectomy,1253 days,Recruiting,Interventional,"Active Comparator, Experimental","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,250
HSL 2016-83,Determination of Autonomic Responses to the Exposure of Low Energy Electromagnetic Fields With Frequency Modulation in Patients With Advanced Hepatocellular Carcinoma and Healthy Individuals.,731 days,Unknown status,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,60
IMM2902-101,"IMM2902, a HER2/SIRPα Bispecific mAb-Trap Antibody-receptor Fusion Protein, in Patients With HER2-expressing Advanced Solid Tumors",895 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,135
NOX66-005,A Study of NOX66 and External Beam Radiotherapy in Patients With Metastatic Castration-resistant Prostate Cancer and Other Solid Tumors,856 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Radiation",Sequential Assignment,"Phase 1, Phase 2",Yes,No,70
CCR5063,Evaluation of an Educational Intervention for Women With Breast Pain,122 days,Unknown status,Interventional,Experimental,"Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No,15
BGB-3111-108,A Pharmacokinetic Study to Assess Drug-drug Interaction Between Zanubrutinib and a Cocktail of Substrates in Healthy Subjects,25 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,18
2020/14MAI/273,Serum Neurofilament Light (NFL) in Surgery Under General Anaesthesia (GA) Compared to Surgery With Hypno-analgesia (Hyp),910 days,Recruiting,Interventional,"Active Comparator, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,100
B4T2-PRC-IIT-001,A Clinical Study to Evaluate B4T2-001 CAR T Cells in the Treatment of Advanced Solid Tumors,1569 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No,36
PROACTIVE,"Pharmacokinetic Boosting of Olaparib to Improve Exposure, Tolerance and Cost-effectiveness",1477 days,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 4,No,No,160
875351,Artificial Intelligence Supporting CAncer Patients Across Europe - the ASCAPE Project,1063 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Phase 2,No,No,500
CX-839-011,Study of CB-839 (Telaglenastat) in Combination With Talazoparib in Patients With Solid Tumors,436 days,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,33
16-010491,Preventing Lymphedema in Axillary Lymph Node Dissection,2123 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,264
INT17676,A Study to Assess the Effect of Oral Belumosudil on Inhibition of Various Proteins in the Fed State in Healthy Male Subjects,458 days,Completed,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,52
ESG401-101,Study of ESG401 in Adults With Solid Tumors,1295 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",No,No,177
GS-US-382-1587,Drug-Drug Interaction Study of Vesatolimod in Adults With HIV-1 Who Have Very Low or Undetectable Virus Levels,439 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No,45
20221202,Primary Lesion Treatment for Bone Metastases,1096 days,Not yet recruiting,Interventional,"Experimental, Experimental, No Intervention","Radiation, Procedure",Parallel Assignment,Not Applicable,No,No,400
KSCM-CRD-001,KeraStat(R) Cream for Radiation Dermatitis,209 days,Completed,Interventional,"Other, Experimental","Device, Other",Parallel Assignment,Not Applicable,No,Yes,25
201707042,Diagnostic US for Reduction of Benign Breast Biopsies Using US-guided Optical Tomography,2179 days,Recruiting,Interventional,"Experimental, Experimental",Device,Sequential Assignment,Not Applicable,No,Yes,335
201810102MINC,Does Letrozole Improve Pregnancy Outcome in Fresh Embryo Transfer IVF/ICSI Cycle?,714 days,Unknown status,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 4,No,No,300
1237087,A Mind-Body Intervention for Hot Flash Management,1720 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,232
P.T.REC/012/003747,Aerobic Training and Diet on the Immune System in Postmastectomy Patients Receiving Chemotherapy,312 days,Recruiting,Interventional,"Experimental, Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,60
GIHSYSU-26,"RC48 Plus Tislelizumab, Low-dose Capecitabine and Celecoxib for HER2-positive Metastatic Colorectal Cancer",1106 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,29
GO-1,SHARON: A Clinical Trial for Metastatic Cancer With an Inherited BRCA or PALB2 Mutation Using Chemotherapy and Patients Own Stem Cells,1418 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug, Device",Single Group Assignment,Phase 1,Yes,Yes,10
BRCA-ACP.2022,Acupuncture With/Without Self-acupressure for Post-oophorectomy Hot Flashes in BRCA Carriers,426 days,Not yet recruiting,Interventional,"Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,200
JK08.1.01,"A Study of JK08, an IL-15 Antibody Fusion Protein Targeting CTLA-4, in Patients With Unresectable Locally Advanced or Metastatic Cancer",1222 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",No,No,149
NC762-01,A Safety and Tolerability Study of NC762 in Subjects With Advanced or Metastatic Solid Tumors,1189 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No,170
PARPA-293-001,Study of NMS-03305293 in Pts With Selected Advanced/Metastatic Solid Tumors,1496 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No,150
INT 36/18,Adjuvant CAPECITABINE in High Risk PSEUDOMYXOMA PERITONEI Patients,1824 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,28
17237,HER2-CAR T Cells in Treating Patients With Recurrent Brain or Leptomeningeal Metastases,1826 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,Yes,No,39
MER-XMT-2056-1,A Study of XMT-2056 in Advanced/Recurrent Solid Tumors That Express HER2,1012 days,Suspended,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,171
ZL-2306-912 ALTER-OC-02,Niraparib Combined With Anlotinib in Homologous Recombination Repair (HRR) Gene-mutated Advanced Solid Tumors,698 days,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,No,No,52
CEP1:4/2016,BRCA Main Home Nutritional Intervention-random Study,730 days,Unknown status,Interventional,"Experimental, No Intervention",Dietary Supplement,Parallel Assignment,Not Applicable,No,No,300
Chemobrain Study,Cognitive Status Assessment In Elderly Patients With Active Treatment For Haematological Malignancies,914 days,Not yet recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,60
XB002-101,Study of XB002 in Subjects With Solid Tumors (JEWEL-101),1218 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,524
KlusPharma,Study of A166 in Patients With Relapsed/Refractory Cancers Expressing HER2 Antigen or Having Amplified HER2 Gene,1599 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",Yes,No,49
AJIRB-MED-THE-18-236,Development of a New Immunotherapy Using Intramuscular Administration of Autologous Total IgG,869 days,Completed,Interventional,"Experimental, Experimental","Biological, Biological",Single Group Assignment,"Phase 1, Phase 2",No,No,24
JTU-6H-20210227001,Comparison Between IORT and Postoperative Radiotherapy in Breast Conserving Surgery,1460 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No,80
69HCL22_0275,Control Cohort CTRL COH,1826 days,Not yet recruiting,Interventional,Other,Biological,Single Group Assignment,Not Applicable,No,No,350
REPLAMOD,Histological Modifications of Postmenopausal Vaginal Mucosa After Repeated Carbon Dioxide (CO2) Laser Treatment,729 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,15
BTC-HER2,Trastuzumab in HER2-positive Biliary Tract Cancer,583 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,4
CASE2117,Sensation After Nipple Sparing Mastectomy and Breast Reconstruction With or Without Neurotized Free Tissue Transfer,731 days,Withdrawn,Interventional,"Active Comparator, Active Comparator, Experimental","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,0
H-38855,Ruxolitinib for Premalignant Breast Disease,2425 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,100
4-2019-0648,Trastuzumab-pkrb Combined With Modified FOLFOX-6 in Biliary Tract Cancer Patients Progressed on First Line Therapy,981 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,34
TG-iConquerFear,Reducing Fear of Cancer Recurrence in Danish Colorectal Cancer Survivors,884 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,540
TCM-padia001,Clinical Study on Prevention and Treatment of Pyrotinib Associated Diarrhea With Traditional Chinese Medicine,365 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,30
GO43860,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of RO7502175 as a Single Agent and in Combination With Atezolizumab in Participants With Locally Advanced or Metastatic Solid Tumors",1107 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No,365
C/35/2017,MRx0518 in Patients With Solid Tumours Waiting Surgical Removal of the Tumour,1361 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,No,No,120
2018-003115-21,Basket Trial for Combination Therapy With Durvalumab (Anti-PDL1) (MEDI4736) and Tremelimumab (Anti-CTLA4) in Patients With Metastatic Solid Tumors,1556 days,Withdrawn,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,0
EC29,Auto-Adjustable MOBIDERM® Autofit NIGHT-time Compression Armsleeve in the Upper Limb LYMphedema in Maintenance Phase,1248 days,Recruiting,Interventional,"Placebo Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,No,88
2021/117,Photobiomodulation Therapy in the Prevention and Management of Chemotherapy-Induced Alopecia,2864 days,Recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No,72
Health consortium maresme,Use of Glubran 2 ® in Axillary Lymphadenectomy Without Drain,1522 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Sequential Assignment,Not Applicable,No,No,134
HS-10502-101,A Study of Hansoh (HS)-10502 in Patients With Advanced Solid Tumors,1279 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,318
STUDY00023183,Humidified Forest Oils for Immune System Recovery in Stage I-III Breast or Prostate Cancer,530 days,Enrolling by invitation,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,25
DCC-2036-01-003,A Phase 1b/2 Study of Rebastinib (DCC-2036) in Combination With Paclitaxel in Patients With Advanced or Metastatic Solid Tumors,1473 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,201
E-19-3943,Erector Spina Plane Block Versus Deep Serratus Anterior Plane Block for Post Mastectomy Analgesia,234 days,Completed,Interventional,"Active Comparator, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,80
CASE6118,Free Flap Breast Reconstruction Using Virtual Surgical Planning and 3-D Modeling,1095 days,"Active, not recruiting",Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,30
MCART-006,Dual-targeting VEGFR1 and PD-L1 CAR-T for Cancers Patients With Pleural or Peritoneal Metastases,793 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No,58
PRO1184-001,PRO1184 for Advanced Solid Tumors,999 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No,134
ONC-392-001,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",1567 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,914
BPI-2358-105 phase 3,Plinabulin vs. Pegfilgrastim in Patients With Solid Tumors Receiving Docetaxel Myelosuppressive Chemotherapy Phase 3,986 days,Completed,Interventional,"Active Comparator, Experimental","Drug, Drug, Other, Other",Parallel Assignment,Phase 3,Yes,No,105
HCC 20-064,Telehealth and Memory Study,1535 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,200
E-19-773,"A Randomized Controlled Trial to Evaluate the Efficacy of Acupuncture Versus Aromatherapy as Treatments to Lessen Nausea, Vomiting and Anxiety Associated With Adriamycin and Cytoxan",1500 days,Recruiting,Interventional,"Experimental, Experimental, No Intervention","Other, Other",Parallel Assignment,Not Applicable,No,No,60
STUDY00003387,Exercise and Nutrition Interventions During Chemotherapy K07,1874 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Phase 2,No,No,80
MCART-002,Dual-targeting HER2 and PD-L1 CAR-T for Cancers With Pleural or Peritoneal Metastasis,1025 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,No,No,18
SBT6050-201,A Safety and Activity Study of SBT6050 in Combination With Other HER2-directed Therapies for HER2-positive Cancers,149 days,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,2
ARRAY-818-103,Pharmacokinetic Drug-drug Interaction Study of Encorafenib and Binimetinib on Probe Drugs in Patients With BRAF V600-mutant Melanoma or Other Advanced Solid Tumors,1944 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,56
MC210302,Effects of Probiotics on the Gut Microbiome and Immune System in Operable Stage I-III Breast or Lung Cancer,913 days,Recruiting,Interventional,Experimental,"Procedure, Procedure, Drug, Procedure",Single Group Assignment,Early Phase 1,Yes,No,40
QSPainRelief-patientCNS,"QSPainRelief-patientCNS : Clinical Biomarkers of Nociception, Sedation and Cognition",1295 days,Not yet recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Other",Single Group Assignment,Not Applicable,No,No,180
CARTIER,Cardiovascular Prevention Strategies in Elderly Patients With Cancer (CARTIER Clinical Trial),2312 days,Recruiting,Interventional,"Experimental, Other","Other, Other",Parallel Assignment,Not Applicable,No,No,514
The Swedish DIRECT study,Direct Information to At-risk Relatives,2155 days,Enrolling by invitation,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,490
CKAF156A2104,"Drug-drug Interaction Study of Ganaplacide and Lumefantrine With Midazolam, Repaglinide, Dextromethorphan, Metformin, Rosuvastatin and Dolutegravir",222 days,Completed,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Combination Product, Drug, Drug, Drug, Combination Product",Sequential Assignment,Phase 1,No,No,48
Elasto Trial,Comparison of Real-time and Shear Wave Elastography,1766 days,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No,98
N201810002,Spirulina (FEM-102) Supplement to Chronic Hepatitis B Patients,398 days,Completed,Interventional,"Other, Experimental, Experimental",Dietary Supplement,Parallel Assignment,Not Applicable,No,No,75
MastoVit150,Possibilities of Phytomedicine in Monotherapy of Benign Breast Diseases,881 days,Completed,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 4,No,No,150
CASE1219,Incomplete Follow Up After Positive FIT or Stool DNA Testing: A Multimethod Approach,1918 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,30
RELI/19/Der-Rdt/001,Efficacy and Tolerability Evaluation of a Topical MD Based on SHBF in Management of Radiodermatitis.,836 days,Completed,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No,70
GS-US-467-5643,"Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of GS-9716 as Monotherapy and in Combination With Anticancer Therapies in Adults With Solid Malignancies",2420 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,205
PRO00031416,Men Moving Forward: A Lifestyle Program for African-American Prostate Cancer Survivors,1490 days,Recruiting,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,Not Applicable,No,No,200
7635,Cannabinoids for Taxane Induced Peripheral Neuropathy,729 days,Terminated,Interventional,"Experimental, Placebo Comparator",Drug,Parallel Assignment,Phase 2,Yes,No,12
VAC for HPV,Video-Assisted Counseling for HPV Vaccination,304 days,Unknown status,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,70
ONCB-006-19F,Leucoselect Phytosome for Neoadjuvant Treatment of Early Stage Lung Cancer,1443 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,30
70781,Novel Precision Medicine Approach to Treatment of Osteoporosis Based on Bone Turnover,1624 days,Recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 4,Yes,No,60
1407426,Family History Study on Cancer Risk,1887 days,Recruiting,Interventional,"Other, Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,18000
PRS-343-PCS_08_18,PRS-343 in Combination With Atezolizumab in HER2-Positive Solid Tumors,1045 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,45
NL72939.078.20,Bilateral Prophylactic Mastectomy; Should we Preserve the Pectoral Fascia?,699 days,Recruiting,Interventional,"Other, Other",Procedure,Parallel Assignment,Not Applicable,No,No,21
HCI105691,Fatigue Interventions in Cancer (Exercise Intervention),1801 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Phase 2,No,No,126
AP2007-50104,Comparison of Duloxetine Versus Pregabalin,102 days,Unknown status,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,70
PRO00032593,Virtual Reality Education Program to Reduce Anxiety During Radiation Therapy,246 days,Terminated,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,28
H00020209,Dotarem vs Gadobutrol Contrast for Breast MRI,1094 days,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 4,Yes,No,258
BG01-2002,Clinical Study of Utidelone Injection in Patients With Advanced or Metastatic Solid Tumors,1072 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No,120
Rhomboid,Analgesic Effects of Rhomboid Block,811 days,Recruiting,Interventional,"Experimental, Experimental, Sham Comparator","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,72
GC101 TIL-ST-01,A Phase I Study on Autologous Tumor Infiltrating Lymphocytes Injection (GC101 TIL) for the Treatment of Advanced Malignant Solid Tumors,1005 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 1,No,No,60
IM014-032,Study to Assess the Effect of Branebrutinib on the Drug Levels of Rosuvastatin in Healthy Participants,85 days,Completed,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Single Group Assignment,Phase 1,Yes,No,22
CEEGOG EX-02,Tracers for Endometrial Cancer Sentinel Node Labeling,1095 days,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,83
93 /1801/2021,Lifting Effect on Recovery After Mastectomy,822 days,Not yet recruiting,Interventional,"Active Comparator, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,50
2020-3627-1407,"SSI Rates in Patients Undergoing Mastectomy Without Reconstruction- A Multicenter, Double-blinded RCT.",790 days,Unknown status,Interventional,"Active Comparator, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,384
OTH267,Iraqi Trial for Lung Cancer Screening,1400 days,Unknown status,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,500
MF 22-02,Idiopathic Granulomatous Mastitis Combination Therapy,503 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,150
2019-0989,Trastuzumab Biosimilar (Samfenet®) Plus Treatment of Physicians Choice (TPC) in Patients With HER2-positive Solid Tumor,0 days,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,42
UCSD IIT 150729,Histology-Independent Study of Palbociclib in Patients With Advanced Cancer,2041 days,Withdrawn,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,0
