ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
32158620.0.0000.0072,Prognostic Value of Circulating Tumor DNA Dosing in Patients in Neoadjuvant Breast Neoplasia,"Active, not recruiting",Observational,Cohort,1 Year,Probability Sample,No,No
LightCT-PKUPH,Light-CT in the Diagnosis of Breast Tumor and Lymph Node,Recruiting,Observational,Cohort,,Probability Sample,No,Yes
2018-09-20 Version 1.2,Effect of Low Dose Metronomic Chemotherapy in Metastatic Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,Yes,No
events in breast cancer,Skeletal Events of Hormonal Treatment and Radiotherapy in Patient With Breast Cacer,Unknown status,Observational,Cohort,24 Months,Non-Probability Sample,No,No
ILLUMINE,Inetetamab Combined With Pyrotinib and Vinorelbine as First-line to Third-line Treatment for HER2-positive Metastatic Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
MC220902,Evaluation of Endocrine Therapy-Induced Alopecia Among Postmenopausal and Premenopausal Female Patients With Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ShengjingH 3,"Sj-subway, a Predictor for the Recurrence of High-risk Hormone Receptor-positive Breast That is Sensitive to Extended Endocrine Therapy",Recruiting,Observational,Cohort,10 Years,Probability Sample,No,No
20923,"Impact of Breast Cancer Treatment on Joint Health, Cartilage Composition, and Bone Structure in the Knee and Hand",Terminated,Observational,Cohort,,Non-Probability Sample,No,No
SUN-2252,Integrated Patient Avatars for Guiding Systemic Therapy Treatments in Metastatic Breast Cancer Patients,Recruiting,Observational,Cohort,3 Years,Probability Sample,No,No
2021-0669,Temporal Immunologic Changes With Hypofractionated Radiation-Induced DNA Damage in Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
A5481122,Real-world Treatment Patterns and Effectiveness of Palbociclib and AI Therapy,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,Yes,No
1890-1-2019,Ketotifen: as a Cardioprotective Agent in Breast Cancer Patients Receiving Anthracycline-containing Chemotherapy,Completed,Observational,Other,,Probability Sample,Yes,No
IEO 0837/,Patients Preferences for Adjuvant Endocrine Therapy in Early Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
PHDW-006,Psychological Factors and Oncological Outcomes of Triple-negative Breast Cancer,Unknown status,Observational,Cohort,1 Day,Non-Probability Sample,No,No
AnhuiPH,A Real-world Clinical Study of Pyrotinib Maleate Tablets in the Treatment of Breast Cancer Patients With Positive Her-2,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
UPCC 11121,"Mechanisms, Predictors, and Social Determinants of Cardiotoxicity in Breast Cancer",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
S-64813,"Clinical, Histological and In-depth Molecular Characterization as Well as Experimental Models of Liver Metastasis From Patients With Breast Cancer in Order to Identify New Potential Treatment Avenues.",Not yet recruiting,Observational,Case-Only,2 Years,Non-Probability Sample,No,No
2020-0831,Comparing the Performance of Automated Breast Ultrasonography to Hand-Held Whole Breast Ultrasonography in Breast Cancer Treatment Response Assessment,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
ASSOCIHER,Association Between HER2 Status and pCR Rate in ER-positive Breast Cancer Receiving Neoadjuvant Endocrine or Chemotherapy,Completed,Observational,Cohort,,Non-Probability Sample,No,No
VICC BRE 20104,Multiparametric MRI as a Non-Invasive Biomarker of the Tumor Microenviroment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
EPTTCSM (239BRC18.0129),Evaluation of Pertuzumab-Trastuzumab and Taxane in the Standard Treatment of Metastatic Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
"CD133, Breast Cancer",CD133 Expression in Mammary Invasive Ductal Carcinoma,Recruiting,Observational,Other,,Non-Probability Sample,No,No
2021-40-2343,RWE About QOL and Compliance of Patients With OFS in China,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
69HCL19_0593,"PETRA: PErtuzumab and Trastuzumab Biosimilars Real Life Association for the First Line Treatment of HER2-positive Metastatic Breast Cancer, an Observational Prospective Multicenter Study",Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20160504,Impact of Intensive Follow-up for Bone Metastasis on Characteristics and Prognosis of Chinese Breast Cancer Patients,Completed,Observational,Cohort,,Probability Sample,No,No
2022/005-OST,Exploratory Evaluation of the Functional/Emotional Life Characteristics During the First Year of Ongoing Endocrine Adjuvant Treatment With Aromatase Inhibitors in Breast Cancer Patients With Reduced Bone Mineral Density,Recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No
YWBC-001,"A Multicenter, Open and Observational Real World Study on the Prognosis and Treatment in Young Women With Breast Cancer",Recruiting,Observational,Case-Only,5 Years,Probability Sample,No,No
AURORA US,Clinical Information and Biospecimen Collection From Patients With Recurrent or Stage IV Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
18HH4880,D4 Choline Breast PET/CT,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IC 2020-15,Study Evaluating Hot Flashes in Hormone Sensitive Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
PALBO01/2021,Study Of Real-World Evidence In Patients Treated With Palbociclib During a 2.5 Years Follow-Up Period,Recruiting,Observational,Other,,Probability Sample,Yes,No
CLEE011AUS65,Description of Treatment Patterns and Description and Comparison of Healthcare Resource Utilization and Costs of Women With Metastatic HR+/HER2- Breast Cancer Treated With CDK4/6 Inhibitors,Completed,Observational,Cohort,,Non-Probability Sample,No,No
IUSCC-0647,Effects of Aromatase Inhibitor Therapy on Muscle Function,Completed,Observational,Cohort,,Non-Probability Sample,No,No
SL-2020076,Cardiotoxicity of Targeted Therapy for HER-2 Positive Breast Cancer Patients at High Altitude,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2022-A00171-42,Support and Post-therapeutic Rehabilitation for Women in Complete Remission of Breast Cancer in a Thermal Environment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MIMIR-mTNBC,Molecular PD-L1 PET/CT Imaging With 89Zr-atezolizumab in Metastatic Triple Negative Breast Cancer,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
LCCC1934,Reverse Axillary Mapping in Breast Radiation Treatment Planning,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
2020-12518,Minimal Invasive Axillary Staging and Treatment After Neoadjuvant Systemic Therapy in Node Positive Breast Cancer,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
UKT HT03_1,Prospective Assessment of Quality of Life in Patients With Locally Recurrent Breast Cancer and Hyperthermic Radiotherapy,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
2018-01-054,Genetic Characteristics of HER2 Positive Breast Cancer With Neoadjuvant TCHP Chemotherapy,"Active, not recruiting",Observational,Case-Only,5 Years,Non-Probability Sample,No,No
BRAVE,QOL of Women With HR-Positive Metastatic BC Treated in the First-line Setting: Comparison Between Public and Private Institutions.,Enrolling by invitation,Observational,Other,,Non-Probability Sample,No,No
NL76792.091.21,DLSCT for Breast Cancer Detection in Women With Dense Breasts,Recruiting,Observational,Cohort,,Probability Sample,No,No
190025,Tissue Acquisition and Genomics Analysis of Breast Cancer and Other Gynecologic Malignancies,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
108818,Early Detection of Cardiac Damage With CMR in Women With Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,No,No
A5481151,Real-World Effectiveness of Palbociclib in Combination With an Aromatase Inhibitor,Completed,Observational,Cohort,,Non-Probability Sample,,
D0819C00005,Lynparza Breast Cancer Clinical Experience Investigation,Completed,Observational,Cohort,,Non-Probability Sample,,
MC220303,Adding a Genetic Risk Evaluation to Standard Breast Cancer Risk Assessment for African American and Hispanic Women,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20-009279,Evaluating the Association Between Changes in the Gut Microbiome and Chemotherapy-Induced Nausea in Women Receiving Chemotherapy for Stage I-III Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
KKKR-Neulasta OS-01,An Observational Study to Evaluate the Safety and Efficacy of Pegfilgrastim (Neulasta®),Completed,Observational,Cohort,,Non-Probability Sample,No,No
LCCC1745,"ARFI, VisR and DDAI Ultrasound for Improving Discrimination of Malignant and Unresponsive Breast Cancer",Completed,Observational,Cohort,,Non-Probability Sample,No,Yes
Organoids Breast,Developing Breast (Cancer) Organoids,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PUMCH-2020-EBC,A Prospective Cohort Study Comparing Disparity in Surgical Procedure (Wide Local Excision Only vs Any Other Surgery Procedures) Among the Elderly Breast Cancer Patients,Not yet recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
CIH-TZS-20190912,Palbociclib in Combination With Fulvestrant Versus Fulvestrant in Advanced Breast Cancer: A Real-world Study in China,Recruiting,Observational,Case-Control,,Non-Probability Sample,Yes,No
ExtremeHypofractionationBreast,Postoperative Radiation of Patients With Breast Cancer in Extreme Hypofractionation.,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
KutahyaMSUcancer,Clinical Classification of Pain in Breast Cancer Survivors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
POLAR-01,Treatment With Pyrotinib-Based Therapy in Lapatinib Resistant HER2-Positive Metastatic Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,Yes,No
NEO-R-IPC 2019-041,Real Time Molecular Analysis of Breast Cancer Receiving Neo-adjuvant Chemotherapy,Recruiting,Observational,Cohort,,Probability Sample,No,No
09.2018.,Diagnostic Accuracy of Dermal Thickness in Lymphedema,Completed,Observational,Other,,Probability Sample,No,No
ZLiu,Radiomics of Mp-MRI Assessing NAC Outcome in Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,No,No
THALIA-01,Tyrosine Kinase Inhibitors (TKIs) in Trastuzumab Emtansine (T-DM1) Resistant HER2-positive Metastatic Breast Cancer: A Real-world Study,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
C-MOT,Copenhagen Master Observational Trial,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
BC-P32,Development of Multi-specific Antibodies Based on Immune Microenvironment of Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
19-0448,Xoft® Intraoperative Radiotherapy (IORT) for Patients With Early-Stage Breast Cancer,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
SYSKY-2022-445-01,"Comparative Evaluation of Efficacy and Safety of Toremifene, Tamoxifen, and Aromatase Inhibitor Plus Ovarian Function Suppression in Hormone Receptor-Positive Early Breast Cancer Among Non-Low-Risk Premenopausal Women: A Real-World Study",Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CGAprediting,The Value of Geriatric Assessments in Older Patients With Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CH-BC-086,Comparative Effectiveness of Palbociclib Plus AI Versus Fulvestrant for HR+/HER2- ABC,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IRB00154162,Evaluating the Ability of 99mTc-Tilmanocept to Identify Clipped Nodes in Breast Cancer Patients Undergoing Neoadjuvant Chemotherapy and Sentinel Lymph Node Dissection,Recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,No
2020KT151,Trastuzumab(Henlius®) Combined With Pertuzumab(Perjeta®) and Chemotherapy in Chinese Patients With Her2-Positive Metastatic Breast Cancer Previously Treated With Trastuzumab,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
NCC3222,Comparative Effectiveness of PAL Based-therapy as Initial ET Versus PAL Based-therapy After ChT for HR+/HER2- ABC,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
22-10590-BO,Identification of Novel Inflammation-related Biomarkers for Early Detection of Anthracycline-induced Cardiotoxicity in Breast Cancer Patients,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
4-2017-1108,"Cosmetic Outcome, Patient-reported Outcomes, and Reconstruction-related Complications in Breast Cancer Women Treated With or Without Post-mastectomy Radiation Therapy",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GATTUM -1,Gated Radiotherapy in Left Sided Breast Cancer Patients,Unknown status,Observational,Cohort,,Probability Sample,,
RI-002,Parallel Comparison of 18 Gene Classifiers and Oncotype DX (Nanostring),Completed,Observational,Cohort,,Non-Probability Sample,No,No
RECHMPL20_0130,Contraception and Cervical and Breast Cancer Screening in Obese Versus Non-obese Women,Completed,Observational,Cohort,,Non-Probability Sample,No,No
CBYL719C2005,Survey Among Healthcare Professionals Treating Patients With Metastatic Breast Cancer in Selected European Countries to Evaluate Their Knowledge on Management of Hyperglycemia When Using Alpelisib,Recruiting,Observational,Other,,Non-Probability Sample,,
BCIG,Clinical Study of Imaging Genomics Based on Machine Learning for BCIG,Not yet recruiting,Observational,Cohort,5 Years,Probability Sample,No,No
Neo-RT,Neo-RT: A Study Investigating Whether Changing the Sequence of Treatments (Starting Radiotherapy Followed by Hormone Therapy Before Surgery) is Feasible,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
69HCL21_0552,NEOZOL_Follow-up Study,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
SAHZhejiangU---Breast,Application of Radiomics in Breast Cancer,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
PEAR-TNBC_ Protocol_v2.0,Image-based AI Predictive Biomarkers for Precision Neoadjuvant Triple-negative Breast Cancer Treatment,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ML42876,The Efficacy and Safety of Neoadjuvant Trastuzumab Plus Taxane With and Without Pertuzumab Therapy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MHICC-2018-003,"Identification and Evaluation of Patients at Risk of Developing Cardiotoxicity After Receiving Chemotherapy for Breast Cancer, Lymphoma or Leukemia",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IRB00049171,Stress Test in Detecting Heart Damage in Premenopausal Women With Stage I-III Breast Cancer,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
2022-0239,Observational of Adjuvant Treatment of Breast Cancer With Liposomal Doxorubicin Regimen,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
R21052,Factors Influencing Breast Cancer Resection Volumes And Their Impact on Treatment Outcome (FIBRATIO),Recruiting,Observational,Cohort,3 Years,Non-Probability Sample,No,No
Exactis-05,RWD Study in HER2+ mBC Patients in Third-Line Therapy,Completed,Observational,Cohort,,Non-Probability Sample,No,No
ERC/2018/06/01,Case Control Study to Identify Modifiable Risk Factors for Colorectal and Breast Cancer in Nigeria,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
844978,Abbreviate or FAST Breast MRI for Supplemental Breast Cancer Screening for Black Women at Average Risk and Dense Breasts,Recruiting,Observational,Other,,Non-Probability Sample,No,No
S2020-300,Prospective Multicenter Study on Clinical Application of Sonazoid in Breast Tumor,Recruiting,Observational,Other,1 Month,Probability Sample,No,No
50619,Patient Outcomes From Second Film-readers and Test Threshold Relaxation in Breast Screening,Enrolling by invitation,Observational,Cohort,,Probability Sample,No,No
2019-1237,Precision Performance Status Assessment in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ACT-MBC,ACT-MBC: A Study of Circulating Tumor Cells (CTCs) in Metastatic Breast Cancer (MBC),Recruiting,Observational,Case-Only,,Probability Sample,No,Yes
LACOG 0122,Radiotherapy With Extreme Hypofractionation in Patients With Breast Cancer in Brazil: a Retrospective Cohort Study,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
55457122.3.0000.5330,Onco-Genomas Brasil: Mapping Breast and Prostate Cancer in the Brazilian Public Health System,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2020-A02045-34,The E-consult Application for Patients With Breast Cancer: Interest in Empathy and Empowerment of Patients.,Completed,Observational,Cohort,,Non-Probability Sample,No,No
SMC2018-09-029-003,The Effects of Anesthetics on Persistent Pain Following Breast Cancer Surgery,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
2019-1042,Treatment Decision Making in African American Women Diagnosed With Triple Negative Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ReMig,Rehabilitation on Equal Terms - The ReMig Study,Recruiting,Observational,Cohort,,Probability Sample,No,No
EVE-CWM-01,Efficacy of Everolimus-containing Chemotherapy in HER2- mBC Patients With PI3K/AKT/mTOR Mutations Study,Completed,Observational,Case-Only,,Non-Probability Sample,,
SAFE-FORWARD,Safety of Ultra-hypofractionated Whole Breast Irradiation After Breast-conserving Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2018-8984,Low Energy Dissection Vs. Electrocautery in Lumpectomy Shaved Surgical Margins,Unknown status,Observational,Case-Only,,Probability Sample,No,Yes
230/HĐĐĐ-ĐHYD,2D Speckle-tracking Echocardiography in Chemotherapy-induced Cardiomyopathy With Cardiovascular Risk Factors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
A5481152,First-line Palbociclib and Endocrine Therapy for Patients With HR+/HER2- Advanced Breast Cancer in the Real-world Setting.,Recruiting,Observational,Cohort,,Non-Probability Sample,,
ANG-002,Harvest of CTCs From MBC Patients Using the Parsortix™ PC1 System,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes
38RC20.120,"Complications After Lumpectomy, Sentinel Node and Radiotherapy in Breast Cancer Patients and Physiotherapy Care",Completed,Observational,Case-Only,1 Day,Non-Probability Sample,No,No
D19160,Lumpectomy Specimen Margin Evaluation With Tomography and Structured Light Imaging,Completed,Observational,Cohort,,Non-Probability Sample,No,No
IO Panel,Tumor Immune Mechanism of Axillary Lymph Node Metastasis in Early Luminal Type A Breast Cancer,Unknown status,Observational,Case-Control,,Probability Sample,No,No
PA18-1077,"Impact of COVID-19 Pandemic on Out-of-Pocket Costs, Lost Wages, and Unemployment in Patients With Breast Cancer Undergoing Breast Surgery",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IRB00076577,Oral Aromatase Inhibitors Modify the Gut Microbiome,Recruiting,Observational,Cohort,,Probability Sample,No,No
KEK 2021-D0051,HER2-directed Biosimilar in Breast Cancer: Real World ePRO,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
RD19/125787,Guide for Prioritisation of Patients for Referral to Breast Clinics,Suspended,Observational,Cohort,,Probability Sample,No,No
YOUNGBC-12,Eribulin in mTNBC Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
X9001194,UK Ibrance Patient Program (IPP) Study,Completed,Observational,Cohort,,Non-Probability Sample,,
EXERT-BC,"EXErcise Regimen Designed to Improve Functional Mobility, Body Composition, and Strength After Treatment for Breast CA",Recruiting,Observational,Other,3 Months,Non-Probability Sample,No,No
yifeng,Prevalence and Risk Factors for Pain and Related Adverse Reactions Among Breast Cancer Survivors on Aromatase Inhibitors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MEC-2021-0829,An Integrated Optimization of Surgery and Radiotherapy Techniques to Improve Cosmetic Outcome and Quality of Life in Breast Conserving Therapy for Breast Cancer Patients (STARLINGS Study),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-23,The Rechallenge of ADCs in MBC Patients,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
NEODOC-2021668610-165,Evaluation of NeoNavia® Biopsy System in Axillary Lymph Nodes,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
00055029,Investigation of a Digital Healthy Habits Program for Individuals With Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
TADANAC,Targeted Axillary Dissection After Neo-adjuvant Chemotherapy,Recruiting,Observational,Other,,Non-Probability Sample,No,No
PF008,Treatment Patterns of Neratinib in HER2+ EBC in China,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2018-0477,Infertility Survey Among Reproductive Age Women With Gynecological and Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
712,Effects of Interpectoral-Pectoserratus Plane Block After Breast Cancer Surgery,Not yet recruiting,Observational,Cohort,10 Days,Probability Sample,No,No
202301160RINA,Novel MRI Techniques on Evaluation of Lymphedema,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2001272738,Epigenetics of TNBC in Overweight and Obese Hispanic & Non-Hispanic White Women,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
2019-06-027,Cohort Study of Patients With HER2-negative MBC and BRCA 1/2 Pathogenic Mutation,Unknown status,Observational,Cohort,3 Years,Non-Probability Sample,No,No
MRI in response assesment,Functional MRI in Predicting Response to Chemotherapy,Recruiting,Observational,Other,,Non-Probability Sample,No,No
19-5080,Cardio-Oncology Rehabilitation Exercise,Recruiting,Observational,Cohort,,Probability Sample,No,No
H1901940,IORT-Breast at Medical Center Navicent Health,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,Yes
A5481150,Treatment Patterns & Clinical Outcomes of Palbociclib Combinations in HR+HER2-MBC,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CETC 002,Association of Adjuvant Radiotherapy of Non-metastatic Breast Carcinoma With Immunomodulation and Circulating Tumor Cell Phenotype in Relation to Patient Age.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
00031569,Photoacoustic Lymph Node Imaging,Suspended,Observational,Case-Only,,Non-Probability Sample,No,No
2022-001,Deformable Image Registration for Breast Adaptive Tomotherapy,Completed,Observational,Cohort,,Probability Sample,,
829400,Abbreviated Breast MRI After Cancer Treatment,"Active, not recruiting",Observational,Other,,Non-Probability Sample,No,No
R_ReLoCC,Registry of Local Recurrences After Breast-conserving Surgery,Not yet recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
HelouEl,Factor Influencing Breast Surgery Type Decision-Making,Completed,Observational,Cohort,1 Day,Non-Probability Sample,No,No
2018/827,Aspects of Breast-conserving Surgery,Completed,Observational,Cohort,,Non-Probability Sample,No,No
RWS-PEGCSF,Prophylactic Use of PEG-rhG-CSF in Medium-high Risk of FN in Chemotherapy of Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-13,18F-FDG Uptake Heterogeneity Predicts Pyrotinib Response,Completed,Observational,Cohort,,Non-Probability Sample,No,No
A5481170,European Treatment Patterns and Outcomes Associated With First-Line CDK4/6 Inhibition and Hormonal Therapies,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
EUBREAST-4,MEthods for LOcalization of Different Types of Breast Lesions,Recruiting,Observational,Cohort,,Probability Sample,No,No
69HCL17_0480,Collaborative Self-Management Support in Chronic Conditions - Qualitative Study,Completed,Observational,Other,,Non-Probability Sample,No,No
A5481158,Swedish Ibrance Registries Insights (SIRI),Recruiting,Observational,Cohort,,Non-Probability Sample,,
EUBREAST-11R,International Prospective REgistry on Pre-pectorAl Breast REconstruction,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
WSG-NIS04 / PROOFS,PROOFS-Registry - Premenopausal Women With Breast Cancer Optimally Treated With OFS,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No
SCHBCC-N023,Patient Report Outcome-Reconstruction and Oncoplastic Cohort,Recruiting,Observational,Cohort,24 Months,Non-Probability Sample,No,No
MC1937,Immune Response to Anti-HER2 Therapies in Patients With HER2-Positive Stage I-IV Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2018-A03054-51,Loreline Study: Characterization of Long Responders Under Eribuline,Completed,Observational,Cohort,,Non-Probability Sample,No,No
2020-10/850,Correlation of Preoperative Anxiety With Early Postoperative Cognitive Dysfunction in Breast Cancer Patients,Completed,Observational,Other,8 Months,Probability Sample,No,No
IEO 0758/,Histology VABB-Histology Post Surgery Pilot Project (BETTY Trial),"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
GN19ON381,Investigating the Long-term Cardiac Sequelae of Trastuzumab Therapy,Recruiting,Observational,Case-Control,,Probability Sample,No,No
2021/03,A Deep Learning Method to Evaluate QT on Ribociclib,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CCR 5006,Exploring the Link Between Cancer Genetics and PPSP,Unknown status,Observational,Case-Control,,Probability Sample,No,No
ICO-N-2018-12,Intravenous Chemotherapy and Plant-based Dietary Supplements,Completed,Observational,Cohort,,Non-Probability Sample,No,No
20180349,Health Economy Register,Completed,Observational,Cohort,,Non-Probability Sample,,
H-18016600,Metabolic and Bone Changes After Adjuvant Cancer Treatments in Early Non-metastatic Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NIS07075,Real-life Pan-HER-blockade With Neratinib,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2018-172,The Effects of Wheat Sprouts Supplements on the Key Health Indicators of the Patients With Breast Cancer After Chemotherapy,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
A211601,Evaluation of Mammographic Breast Density in Participants With Hormone Receptor-Negative Breast Cancer Enrolled on Study A011502,Terminated,Observational,Cohort,,Non-Probability Sample,No,No
22-4004,African Cancer Genome: GMD,Recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No
AAAS3402,Glucose Monitoring During Chemotherapy,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
HUM00208684,Pilot Observational Study Examining the Effect of Endocrine Therapy on Aging,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CADEX-0001,Development of a Cell Free DNA Assay as a Biomarker for Predicting Early Non-response to Therapy in Metastatic Cancer,Suspended,Observational,Cohort,,Probability Sample,No,No
İboelif22,"The Relationships Between Physical Activity Level, Quality of Life and Cognitive Level in Breast Cancer Patients",Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
SMC 2021-05-045,SMC Radiation Oncology Breast Cancer Cohort Study,Recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,No
SamsunU,Combination of Serratus Anterior and Pectoral Nerve Blocks (PECS II) as Main Anesthetic Method in Breast Cancer Surgery,Recruiting,Observational,Cohort,1 Year,Probability Sample,No,No
ShandongCHI-18,Patient Report Outcome and Oncological Safety -Oncoplastic and Conventional BCS Cohort,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
110.01-2016-GES-0001,Automated Breast Ultrasound Case Collection Registry,Terminated,Observational,Cohort,30 Months,Non-Probability Sample,No,Yes
IRB00081356,Self Reported Pain in Women While Undergoing Treatment for Non-metastatic Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,Yes,No
VIL-HEQ-17-014,Health and QoL in Oncological Patients: Management of Bone Pathology in Italian Citbl Population,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
DS_v01,A Multicenter Prospective Post-registration Study of Empegfilgrastim to Evaluate Safety and Efficacy in Special Cancer Populations,Recruiting,Observational,Cohort,,Probability Sample,No,No
4-2020-1093,Radiotherapy for Thoracic and Breast Cancer and the Related Cardiotoxicity Following Treatment (RACCOON),Unknown status,Observational,Cohort,,Probability Sample,No,No
GBG 107,Long-term Safety and Efficacy of GBG Study Participants,Recruiting,Observational,Cohort,10 Years,Probability Sample,No,No
CE-MRI&CESM in breast lesions,CE-MRI&CESM in Solid Breast Lesions,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2021-03165,Validation of Scales in Reconstructive Breast Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CP-13-001,MarginProbe 2.0 Data Collection Protocol,Recruiting,Observational,Case-Only,,Probability Sample,No,Yes
I3Y-MC-B009,A Prospective Post-Marketing Observational Safety Study of Verzenios® (Abemaciclib) Among Breast Cancer Patients in China Verzenios® (Abemaciclib) Among Breast,Not yet recruiting,Observational,Other,104 Weeks,Non-Probability Sample,Yes,No
