ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
KY-2021-012,Observational,,Drug,,Other,1 Year,Non-Probability Sample,
49/20,Observational,,Radiation,,Case-Control,,Probability Sample,
GC101 TIL-ST-01,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
IM014-032,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
CEEGOG EX-02,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
93 /1801/2021,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
2020-3627-1407,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
OTH267,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
Pro00054854,Observational,,Drug,,Cohort,,Non-Probability Sample,
MF 22-02,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
2019-0989,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
UCSD IIT 150729,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
P.T.REC/012/003464,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
GCT1047-01,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
BPX603-201A,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
KEEP-G 07,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2021-0611,Interventional,Other,Drug,Single Group Assignment,,,,Phase 2
13022260-300-180785,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
INCB 123667-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
ICO-2020-19,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
CRUKD/21/004- Treatment Arm 4,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 2, Phase 3"
NU22-09-00539,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
2019-A03336-51,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
09.2020.125,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
ANAE-341-19,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
01-2/141 27,Interventional,Active Comparator,Diagnostic Test,Parallel Assignment,,,,Not Applicable
KF2019#1,Interventional,Placebo Comparator,Drug,Crossover Assignment,,,,Phase 1
Vein-project,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
thoracic sympathectomy,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
20-240,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 2
Debio 1143-106,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
457,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
D8410C00001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
229510,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
034-2020,Observational,,,,Cohort,,Non-Probability Sample,
38RC17.291,Observational,,Other,,Case-Control,,Non-Probability Sample,
Estim Breast,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
YS-RVON-001,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
228-17-EP,Observational,,,,Cohort,,Non-Probability Sample,
RG1006143,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ZL-2306-914,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019-8890,Observational,,Device,,Case-Only,,Non-Probability Sample,
2021-KY-073,Observational,,Procedure,,Cohort,,Probability Sample,
SNK01-102,Interventional,Experimental,Biological,Parallel Assignment,,,,"Phase 1, Phase 2"
C4551001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
ONT-380-011,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 1
KCSG-ST18-20,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
HCC 20-117,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
EXGEFATU,Observational,,Genetic,,Cohort,,Probability Sample,
HEM-ONCO-013,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
FESPET,Observational,,Diagnostic Test,,Case-Only,,Non-Probability Sample,
22-501,Interventional,Experimental,Other,Factorial Assignment,,,,Not Applicable
STUDY00002021,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
OLATRA,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ELVN-002-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
FN-1501-UP1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
ILYAD1_2019,Observational,,Other,,Ecologic or Community,,Non-Probability Sample,
RBN-2397-19-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
STUDY00000334,Interventional,Other,Device,Single Group Assignment,,,,Not Applicable
OPT-IN Research Protocol,Interventional,,Other,Single Group Assignment,,,,Not Applicable
2017-A02018-45,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
CX-5461-04,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
919/2020/Oss/IOR,Observational,,Other,,Case-Control,4 Years,Non-Probability Sample,
MC16C2,Interventional,Experimental,Drug,Crossover Assignment,,,,Early Phase 1
NL75863.068.21,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
20-009,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
PUMCH-NM-11/041,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ISU104-001,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 1
SLNB,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
BR/2019/487,Interventional,No Intervention,Other,Parallel Assignment,,,,Not Applicable
ATADEK/2022.11,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
60116787-020/34123,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
BARBEN 2020,Observational,,Biological,,Cohort,,Non-Probability Sample,
CHUB-Hystocor,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
BLU-222-1101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
Soh-Med-22-09-16,Observational,,,,Other,5 Months,Non-Probability Sample,
Shengjing-LJY05,Observational,,Other,,Cohort,,Probability Sample,
CHUBX 2015/17,Interventional,Other,Procedure,Parallel Assignment,,,,Not Applicable
1766419-7,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
NUV-868-01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
436,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
200155,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
2021-BRV-004,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
PREDICT,Observational,,,,Case-Only,,Non-Probability Sample,
EJC001,Interventional,Experimental,Behavioral,Parallel Assignment,,,,"Phase 1, Phase 2"
CHU-426,Observational,,Other,,Cohort,,Non-Probability Sample,
PHOX-CLI_001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NICSO,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
BJK-Z-F18HN-202010-YZGK,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 3
A-ER-109-415,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2-107-05-162,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
IRAS307166,Observational,,Device,,Cohort,,Non-Probability Sample,
20.60-onco20.07,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
YBCSG-21-04,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
SamanRostambeigi,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
20190131,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
999916161,Observational,,,,Other,,Non-Probability Sample,
IRB00038262,Interventional,Other,Drug,Factorial Assignment,,,,"Phase 2, Phase 3"
IRB00095260,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
TapeK_Gesso_ABM_PSO,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
29BRC18-0005 (VinMetAtezo),Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
1000-1,Observational,,Device,,Cohort,,Non-Probability Sample,
OPTIMUM,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
R-17-360,Observational,,Radiation,,Cohort,,Non-Probability Sample,
2017-003582-10,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BIC4VMR,Observational,,Other,,Other,,Non-Probability Sample,
2017_43,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
4397,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
00000001,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Not Applicable
IRB-2019-118,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
RGC-1501-001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
19CX5601,Observational,,,,Other,,Probability Sample,
20-03021615,Interventional,Other,Other,Parallel Assignment,,,,Not Applicable
210026,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
702576,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
MT-5111_001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
APHP180576,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
2020-1255,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
RC2022_prg.15,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
IEO 1740,Observational,,,,Other,,Probability Sample,
UW 19-436,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
EDGE 000339,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
METCZ20210156,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
2000031462,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
METCZ20210103,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
2017/184 HP,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
20-002000,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
18.068,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Phase 3
Soh-Med-22-03-01,Observational,,,,Other,,Non-Probability Sample,
2020-3547,Interventional,Experimental,Other,Crossover Assignment,,,,Not Applicable
CTM-N2D,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
IMT-009-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
B.30.2.ATA.0.01.00/1/6,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
SYSKY-2022-019-02,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
2019-02Obs-CHRMT,Observational,,,,Cohort,,Non-Probability Sample,
CHGH-IRB:(864)110-10,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PROT-CI2021,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
CP-MGC018-01,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
RTX-224-01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
2021-A01625-36,Interventional,Other,Device,Single Group Assignment,,,,Not Applicable
SGNB7H4V-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
ShuangHoH,Observational,,Device,,Cohort,,Non-Probability Sample,
P130935,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
794/2020/Farm/IOR,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2000029793,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CMUH109-REC2-101,Observational,,,,Cohort,,Probability Sample,
RNI 2021 LEBRETON 3 (EVIGE),Observational,,,,Case-Control,,Probability Sample,
SBNK-YJ-2020-016-02,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ThirdMMUb,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 2, Phase 3"
2693-CL-0307,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
2020NZKY-062-01,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
2021-13614,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
MER-XMT-1660-1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
no: P.T.REC/012/002774,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SBNK-YJ-2019-006-02,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
1648/2019,Observational,,Drug,,Cohort,6 Months,Non-Probability Sample,
2020/900/88,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
DF1001-001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
STUDY00000224,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2693-CL-0304,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ZUH-ITP-MBCS,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 4
21-007867,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
1 TP2AH000076-01-00,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
Masters thesis,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
22072,Observational,,Drug,,Cohort,,Non-Probability Sample,
CPI-006-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
HKG-KZ-PRAD-103,Observational,,,,Case-Control,,Probability Sample,
RG1001812,Interventional,Experimental,Dietary Supplement,Single Group Assignment,,,,Not Applicable
25922,Interventional,Experimental,Other,Sequential Assignment,,,,Not Applicable
2693-CL-0305,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
PET/CT in malignancy,Observational,,Radiation,,Cohort,,Probability Sample,
2021-A01570-41,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2693-CL-0302,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2693-CL-0301,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 3
AssiutNT,Observational,,Behavioral,,Case-Only,,Probability Sample,
PUMCH-NM-RR,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
HKG-Bng-HCC-100,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
IX-2021-DS-LEARN,Observational,,,,Cohort,,Non-Probability Sample,
1-1-7-05-114,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
Pro00101102,Observational,,Other,,Cohort,,Non-Probability Sample,
ALXN2040-HV-102,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NL66650.041.18,Observational,,Radiation,,Cohort,2 Years,Non-Probability Sample,
NCI-2020-01206,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 1
21083,Interventional,Experimental,Other,Sequential Assignment,,,,Not Applicable
STUDY00144314,Interventional,Active Comparator,Behavioral,Single Group Assignment,,,,Not Applicable
19-068,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
69HCL21_0409,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
HALO Dx 001,Observational,,Other,,Cohort,,Non-Probability Sample,
D8532C00003,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
UC-0107/1603,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
AK_2021_HP,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
C4391001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
ICO-2020-14,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
20-2458.cc,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
844554,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
659/2017BO1,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
SYSU_AI01,Observational,,,,Cohort,2 Years,Non-Probability Sample,
XL092-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
HSC-SPH-20-1117,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
B2017-113R,Observational,,Diagnostic Test,,Case-Control,3 Years,Non-Probability Sample,
PH-FAPGA-01/22,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
FPA150-001,Interventional,Experimental,Biological,Single Group Assignment,,,,Early Phase 1
GCT1029-01,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
STU-2019-0522,Observational,,,,Cohort,,Probability Sample,
HEALED_CPS3,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PJ-KS-KY-2019-134,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
PY314-1-01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
LAUMCRH.YJ1.16/Jul/2019,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
DMT-2019.002,Observational,,Device,,Case-Control,,Probability Sample,
DMT-2019.001,Observational,,Device,,Case-Control,,Probability Sample,
AD10,Observational,,Diagnostic Test,,Case-Control,1 Month,Probability Sample,
CASE7Y16,Observational,,Device,,Cohort,,Probability Sample,
1474/19,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Phase 2
CNZV930X2101,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 1
TirolGESUND,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
R20-3896L,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
69HCL19_0992,Interventional,Other,Behavioral,Single Group Assignment,,,,Not Applicable
201805930,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
2018-0075,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
LOCAL/2020/DR-01,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
IRB-300003680,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
HSC-MS-16-0467,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
PJ-KS-KY-2019-135,Observational,,,,Cohort,,Non-Probability Sample,
2021/03-12,Interventional,Active Comparator,Procedure,Crossover Assignment,,,,Not Applicable
D0817R00010,Observational,,,,Cohort,,Non-Probability Sample,
201610,Observational,,,,Case-Control,,Non-Probability Sample,
VAR-2021-12,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
WVU010518,Interventional,Experimental,Dietary Supplement,Single Group Assignment,,,,Not Applicable
NUSMart NM,Interventional,No Intervention,Behavioral,Crossover Assignment,,,,Not Applicable
XmAb22841-01,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
PREDAPT,Observational,,Diagnostic Test,,Case-Only,,Probability Sample,
SC103,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
ACE1702-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
RP12146-2101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
RG1005815,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
HH-PRT-0001,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
MP01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
AD07,Observational,,Diagnostic Test,,Case-Control,1 Month,Probability Sample,
5688,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
RG1005140,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
BT8009-100,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
HN20190929,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
STUDY00018000,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
00003543,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
OSU-19199,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
KB-0742-1001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
GQ1001X2101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
21820,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
NL 70691.091.19,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
ORM-5029-01-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
NCI-2017-01232,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
PRT3645-01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
123glioma,Observational,,,,Cohort,,Non-Probability Sample,
HMBD-002-V4C26-01,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
NCH04-2020,Observational,,Radiation,,Case-Control,,Non-Probability Sample,
BakircayU/D208,Observational,,,,Cohort,,Non-Probability Sample,
RG1121550,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
KYL[2020091],Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
TJ004309STM103,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
AP1904-50102,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
GCT1044-01,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
SZMC-0216-22,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
7465-CL-202,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
ELU-FRα-1,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
IMP7068 - 101,Interventional,Other,Drug,Sequential Assignment,,,,Phase 1
D0818R00008,Observational,,Other,,Cohort,,Non-Probability Sample,
2000028592,Observational,,,,Cohort,,Non-Probability Sample,
D17062,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
SGNPDL1V-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
22/006-P,Observational,,,,Other,1 Month,Non-Probability Sample,
SAIL-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
101,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 1
PREFER,Observational,,Diagnostic Test,,Cohort,2 Years,Probability Sample,
C3881001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
TT420X1103,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
RP2-001-18,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
M18HAR,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
8259,Observational,,,,Cohort,,Probability Sample,
20-458,Observational,,Other,,Cohort,,Non-Probability Sample,
STUDY00020679,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
M20COM,Observational,,Other,,Cohort,10 Years,Non-Probability Sample,
21-508,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
CPG-01-001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
TJCC-LC-20190108,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
S1714,Observational,,Drug,,Cohort,,Non-Probability Sample,
2000026840,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2020/2706,Observational,,,,Cohort,,Probability Sample,
INCB 106385-102,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
GCT1046-01,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
127-CL-01,Interventional,Experimental,Combination Product,Sequential Assignment,,,,Phase 1
Pro00077309,Observational,,,,Ecologic or Community,,Non-Probability Sample,
KY1044-CT01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
UAB30,Interventional,Active Comparator,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
MCC-20086,Interventional,No Intervention,Behavioral,Sequential Assignment,,,,Not Applicable
Oncoplastic breast surgeries,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
105909,Observational,,,,Cohort,,Probability Sample,
XmAb20717-01,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
PBC017,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
19ON033,Observational,,Behavioral,,Case-Control,,Non-Probability Sample,
Parameters of resistence,Observational,,Drug,,Cohort,3 Months,Probability Sample,
NCI-2017-01979,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
NCI-2018-01375,Observational,,Procedure,,Cohort,,Non-Probability Sample,
Pro20170001392,Interventional,Experimental,Other,Single Group Assignment,,,,Phase 2
A005D-E01-201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
A212102,Observational,,Other,,Case-Control,,Non-Probability Sample,
TAP_Sett17,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
CPO-100-US-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IRB00058758,Observational,,Other,,Cohort,,Probability Sample,
20-117,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 2
19-002006,Interventional,Experimental,Procedure,Single Group Assignment,,,,Early Phase 1
Plasticity Longitudinal cANcer,Interventional,Experimental,Biological,Parallel Assignment,,,,Not Applicable
2021-025,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
ATRC-101-A01,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
ST101-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
190143,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CYT-0851-01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
MC210102,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
17573,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
NCI-2020-13883,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
TT00420CN04,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
ONCR-177-101,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 1
SGNSTNV-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
2021-0299,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 1
SKL27969C001,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
ACE-Pan tumor-02,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
HCC 20-266,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019-0239,Observational,,Other,,Cohort,,Non-Probability Sample,
D9090C00003,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
FT500-101,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
17364,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
180043,Observational,,,,Cohort,,Non-Probability Sample,
NCI-2020-06906,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
INT 48/21,Observational,,Other,,Case-Control,,Probability Sample,
IDE161-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
AK2018_1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
FT536-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
STUDY00000719,Interventional,Experimental,Behavioral,Sequential Assignment,,,,Not Applicable
DV001,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
JZP712-201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CancerDyads,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
TMPS-101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IIBSP-ECV-2019-103,Observational,,,,Case-Control,,Non-Probability Sample,
00000441,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
CCI-2003,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
